"verification_id","listing_id","listing_url","listing_url_canonical","ask_price","price_per_m2","normalized_area_m2","postcode_standardized","local_authority_standardized","geometry_verdict","geometry_evidence_type","geometry_uncertainty_m","field_confidence_json","side_lengths_m_json","perimeter_m","source_urls_json","decision_reason","verified_polygon_geojson","source_polygon_original_site_status","risk_label","acceptance_status","policy_reason"
"L4-00003-OTM-10225397","OTM-10225397","https://www.onthemarket.com/details/10225397/","https://www.onthemarket.com/details/10225397/","90000.0","100.245043","897.8","CV21","Rugby","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10225397/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;ppm_above_5000"
"L4-00004-OTM-10278618","OTM-10278618","https://www.onthemarket.com/details/10278618/","https://www.onthemarket.com/details/10278618/","40500.0","183.723462","220.44","RM8 3PA","Barking and Dagenham","derived_ai_visual","visual_hint_assisted_candidate","28.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_ai_visual."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10278618/"",""https://www.onthemarket.com/agents/"",""https://www.onthemarket.com/agents/contact/10278618/?form-name=details-contact"",""https://www.onthemarket.com/assets/images/icons/map/map-pill.png/""]","Visual/photo hints exist, but not georeferenced. Candidate remains derived only.","","unknown_not_verified","critical","manual_review","no_verified_polygon;ai_visual_candidate;ppm_above_5000"
"L4-00005-OTM-10371311","OTM-10371311","https://www.onthemarket.com/details/10371311/","https://www.onthemarket.com/details/10371311/","150000.0","204.262273","734.35","B64","Sandwell","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10371311/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00006-OTM-10541029","OTM-10541029","https://www.onthemarket.com/details/10541029/","https://www.onthemarket.com/details/10541029/","89950.0","128.393617","700.58","PE12 7BZ","South Holland","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10541029/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00007-OTM-10693127","OTM-10693127","https://www.onthemarket.com/details/10693127/","https://www.onthemarket.com/details/10693127/","725000.0","1759.324419","412.09","DH7","County Durham","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10693127/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
"L4-00008-OTM-10849824","OTM-10849824","https://www.onthemarket.com/details/10849824/","https://www.onthemarket.com/details/10849824/","175000.0","7.372463","23736.98","LA18 5BH","Cumberland","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10849824/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00009-OTM-10854933","OTM-10854933","https://www.onthemarket.com/details/10854933/","https://www.onthemarket.com/details/10854933/","300000.0","162.292874","1848.51","NE9 6DR","Gateshead","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10854933/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00010-OTM-10866038","OTM-10866038","https://www.onthemarket.com/details/10866038/","https://www.onthemarket.com/details/10866038/","325000.0","11.109334","29254.68","DY5","Dudley","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10866038/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
"L4-00011-OTM-10905789","OTM-10905789","https://www.onthemarket.com/details/10905789/","https://www.onthemarket.com/details/10905789/","70000.0","2.962489","23628.78","LS25","North Yorkshire","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10905789/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00012-OTM-10935976","OTM-10935976","https://www.onthemarket.com/details/10935976/","https://www.onthemarket.com/details/10935976/","135000.0","152.70284","884.07","SY4 1LJ","Shropshire","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10935976/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
