"case_id","verification_id","listing_id","geometry_verdict","current_label","current_issue","check_url","url_status","postcode_status","authority_status","polygon_status","checked","final_decision","notes"
"VS-001","L4-00001-OTM-16748769","OTM-16748769","derived_multi_signal","needs_source","missing_source","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-002","L4-00002-OTM-17945851","OTM-17945851","derived_multi_signal","needs_source","missing_source","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-003","L4-00003-OTM-10225397","OTM-10225397","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-004","L4-00005-OTM-10371311","OTM-10371311","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-005","L4-00006-OTM-10541029","OTM-10541029","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-006","L4-00007-OTM-10693127","OTM-10693127","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-007","L4-00008-OTM-10849824","OTM-10849824","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-008","L4-00009-OTM-10854933","OTM-10854933","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-009","L4-00010-OTM-10866038","OTM-10866038","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-010","L4-00011-OTM-10905789","OTM-10905789","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-011","L4-00004-OTM-10278618","OTM-10278618","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-012","L4-00013-OTM-10968251","OTM-10968251","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-013","L4-00091-OTM-13125000","OTM-13125000","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-014","L4-00102-OTM-13262366","OTM-13262366","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-015","L4-00113-OTM-13405675","OTM-13405675","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-016","L4-00116-OTM-13486283","OTM-13486283","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-017","L4-00178-OTM-14105467","OTM-14105467","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-018","L4-00230-OTM-14565352","OTM-14565352","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-019","L4-00247-OTM-14648028","OTM-14648028","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-020","L4-00250-OTM-14695987","OTM-14695987","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-021","L4-00333-OTM-15166073","OTM-15166073","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
"VS-022","L4-00340-OTM-15203552","OTM-15203552","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
,"L4-00012-OTM-10935976","OTM-10935976","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
,"L4-00014-OTM-10973719","OTM-10973719","derived_signal","ambiguous","ambiguous_candidate","","unchecked","unchecked","unchecked","unchecked","no","pending",""
,"L4-00555-OTM-16460389","OTM-16460389","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
,"L4-01217-OTM-17888180","OTM-17888180","derived_ai_visual","needs_source","geometry_unsupported","","unchecked","unchecked","unchecked","unchecked","no","pending",""
