parcel_id,source_listing_id,listing_url,local_authority,postcode_area,centroid_lon,centroid_lat,geometry_source,geometry_confidence,dem_source,dem_product,dem_resolution_m,dem_vertical_datum,elevation_centroid_m_asl,elevation_mean_m_asl,elevation_min_m_asl,elevation_max_m_asl,elevation_std_m,sampling_method,sample_count,coverage_ratio_pct,source_url,source_tile_or_bbox,source_date_or_release,processing_run_id,processed_at_utc,qa_status,evidence_grade,notes
candidate_source_1,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\exports\market_listing_parcel_polygons_2026-04-26.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_2,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_plan_polygons_20260422.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_3,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_plan_polygons_20260423.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_4,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_polygon_provenance_20260423.csv,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_5,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_parcel_polygons_20260422.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_6,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_parcel_polygons_20260423.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_7,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\exports\market_listing_full_3110_verified_parcel_polygons_2026-04-26.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_8,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\historical_sales_parcel_matched\unmatched_records.csv,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_9,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\exports\market_listing_parcel_edges_2026-04-26.geojson,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
candidate_source_10,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\historical_sales_parcel_matched\data_sources_manifest.csv,unknown,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_sampled_blocked,0,unknown,unknown,unknown,unknown,aays-112-parcel-elevation-evidence-export-20260519,2026-05-19T15:26:28Z,blocked,none,Actual elevation not generated; see blockers in result JSON/report. No fake elevation values written.
