"path","name","size_mb","modified_utc","score"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\dk_sdfe_gvr2016.tif","dk_sdfe_gvr2016.tif","6,78","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\dk_sdfe_gvr2016.tif","dk_sdfe_gvr2016.tif","6,78","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\nz_linz_nzgeoid2016.tif","nz_linz_nzgeoid2016.tif","4,99","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\nz_linz_nzgeoid2016.tif","nz_linz_nzgeoid2016.tif","4,99","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\nz_linz_nzgeoid2009.tif","nz_linz_nzgeoid2009.tif","4,11","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\nz_linz_nzgeoid2009.tif","nz_linz_nzgeoid2009.tif","4,11","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\is_lmi_ISN_vel_beta.tif","is_lmi_ISN_vel_beta.tif","3","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\is_lmi_ISN_vel_beta.tif","is_lmi_ISN_vel_beta.tif","3","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\uk_os_OSTN15_NTv2_OSGBtoETRS.tif","uk_os_OSTN15_NTv2_OSGBtoETRS.tif","2,9","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\uk_os_OSTN15_NTv2_OSGBtoETRS.tif","uk_os_OSTN15_NTv2_OSGBtoETRS.tif","2,9","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\se_lantmateriet_SWEN17_RH2000.tif","se_lantmateriet_SWEN17_RH2000.tif","2,21","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\se_lantmateriet_SWEN17_RH2000.tif","se_lantmateriet_SWEN17_RH2000.tif","2,21","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\no_kv_NKGETRF14_EPSG7922_2000.tif","no_kv_NKGETRF14_EPSG7922_2000.tif","1,93","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\no_kv_NKGETRF14_EPSG7922_2000.tif","no_kv_NKGETRF14_EPSG7922_2000.tif","1,93","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\dk_sdfe_dnn.tif","dk_sdfe_dnn.tif","1,8","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\dk_sdfe_dnn.tif","dk_sdfe_dnn.tif","1,8","2026-02-09T20:45:14Z","0"
"E:\Downloads\postgis-bundle-pg16-3.6.2x64\share\contrib\postgis-3.6\proj\uk_os_OSGM15_GB.tif","uk_os_OSGM15_GB.tif","1,47","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\uk_os_OSGM15_GB.tif","uk_os_OSGM15_GB.tif","1,47","2026-02-09T20:45:14Z","0"
"E:\pgsql16\pgsql\share\contrib\postgis-3.6\proj\nc_dittt_Ranc08_Circe.tif","nc_dittt_Ranc08_Circe.tif","1,05","2026-02-09T20:45:14Z","0"
