"path","extension","size_bytes","last_write_time","score","hit_terms"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tools\cost_uk_real_engine\config\cost_item_catalog_12cost.csv",".csv","6832","24.05.2026 04:55:00","6","retail;shop;restaurant;fit-out;quantity surveyor;cost plan"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tools\cost_uk_real_engine\config\building_type_options_12cost.csv",".csv","1086","24.05.2026 04:54:18","4","retail;shop;restaurant;fit-out"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\historical_sales_parcel_matched\transactions_price_paid_unmatched_106910.csv",".csv","20544892","17.05.2026 23:56:21","4","shop;restaurant;GIA;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\historical_sales_parcel_matched\transactions_price_paid_all_106944.csv",".csv","29763304","17.05.2026 23:56:21","4","shop;restaurant;GIA;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\historical_sales_parcel_matched\unmatched_records.csv",".csv","24714380","17.05.2026 23:13:20","4","shop;restaurant;GIA;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\cost12_review_mode_staged\cost12_review_mode_ratecard_candidate_row_20260524.csv",".csv","686","24.05.2026 19:26:55","3","retail;supplier quote;base_rate_gbp_per_gia_m2"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260430T103057Z.json",".json","11727557","30.04.2026 13:30:58","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260430T102657Z.json",".json","11727557","30.04.2026 13:26:57","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260426T093554Z.json",".json","11727557","26.04.2026 12:35:54","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260426T092329Z.json",".json","11727557","26.04.2026 12:23:29","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260426T092132Z.json",".json","423579","26.04.2026 12:21:32","3","retail;shop;commercial"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input_force_2026-04-23_sridfix_matched_only.csv",".csv","4211068","26.04.2026 03:33:35","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input_force_2026-04-23_sridfix.csv",".csv","4211068","26.04.2026 03:33:35","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input_force_2026-04-23_sridfix.pre_bulk_knn_60000_2026-04-26.csv",".csv","4210487","26.04.2026 03:30:40","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input_force_2026-04-23_sridfix.pre_bulk_knn_50000_2026-04-26.csv",".csv","4194578","26.04.2026 03:27:52","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input_force_2026-04-23_sridfix.pre_bulk_knn_20000_2026-04-26.csv",".csv","4158384","26.04.2026 03:25:46","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input_force_2026-04-23_sridfix.pre_bulk_knn_10000_retry_2026-04-26.csv",".csv","4121728","26.04.2026 03:24:14","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260425T233604Z.json",".json","7360918","26.04.2026 02:36:04","3","shop;commercial;QS"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260425T233510Z.json",".json","423579","26.04.2026 02:35:10","3","retail;shop;commercial"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260425T233440Z.json",".json","423579","26.04.2026 02:34:40","3","retail;shop;commercial"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\runner_status\market_round14_bulk_knn_3500_2026-04-26\process_matched.csv",".csv","2544715","26.04.2026 02:29:52","3","shop;commercial;QS"
