"file","line","scenario_version","building_type","spec_grade","region","base_rate_gbp_per_gia_m2","source_url"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\verification_038_backlog_dataset_probe_20260504_071404\candidate_dataset_inventory.csv","4","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\verification_038_backlog_dataset_probe_20260504_071404\candidate_dataset_inventory.csv","39","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\verification_038_backlog_dataset_probe_20260504_071404\candidate_dataset_inventory.csv","51","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\db_table_count_discovery.csv","11","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\db_table_count_discovery.csv","19","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\all_postgres_container_scan_combined.csv","88","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\all_postgres_container_scan_combined.csv","95","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\scan_terrayield_land_postgis_terrayield_land.csv","46","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\scan_terrayield_land_postgis_terrayield_land.csv","53","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\top_100_scan_candidates.csv","58","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\top_100_scan_candidates.csv","73","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\all_container_db_broad_scan.csv","52","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\all_container_db_broad_scan.csv","62","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","959","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","4121","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","4122","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","4123","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","4124","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","7580","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\scan_terrayield_land_postgis.csv","13","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\scan_terrayield_land_postgis.csv","23","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\top_200_db_candidates.csv","99","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\top_200_db_candidates.csv","114","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\db_scan_all_combined.csv","11","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\db_scan_all_combined.csv","19","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\db_scan_initial.csv","11","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\db_scan_initial.csv","19","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\db_top_50_candidates.csv","45","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\db_top_50_candidates.csv","46","cost_uk_v1","","","UK","",""
