"path","extension","length","has_group_column","has_bbox_column","has_parcel_or_geometry","sample"
"E:\AAYS_DATA\estate_agents\england_parcel_groups_200_seed.csv",".csv","31963","True","True","True","""parcel_group_id"",""grid_index"",""grid_x"",""grid_y"",""min_lon"",""max_lon"",""min_lat"",""max_lat"",""coverage_method"",""notes"""
"E:\AAYS_DATA\estate_agents\estate006_verified_export_template_parallel100.csv",".csv","301","True","False","True","agent_id,agent_or_branch_name,company_name,phone,email,office_address,website_url,source_url,evidence_summary,previous_work_summary,postcode,local_authority,latitude,longitude,coverage_parcel_group_ids,trust_score_10,overall_data_truth_score_4,progra"
"E:\AAYS_DATA\estate_agents\estate016_coverage_groups_final_candidate.csv",".csv","1682","True","False","False","""agent_id"",""candidate_id"",""parcel_group_id"",""coverage_method"",""coverage_truth_score_4"",""source_url"",""source_file"",""notes"""
"E:\AAYS_DATA\estate_agents\estate016_parcel_group_join_final_candidate.csv",".csv","101","True","False","True","program_parcel_id,parcel_group_id,match_method,match_confidence,source_file,geometry_field,notes"
"E:\AAYS_DATA\estate_agents\estate017_parcel_group_join_candidate.csv",".csv","101","True","False","True","program_parcel_id,parcel_group_id,match_method,match_confidence,source_file,geometry_field,notes"
"E:\AAYS_DATA\estate_agents\estate018_group_and_parcel_schema_FIXED.csv",".csv","319","True","True","True","""file_type"",""column"",""looks_like_group_id"",""looks_like_bbox"",""looks_like_latlon"""
"E:\AAYS_DATA\estate_agents\estate018_group_seed_schema.csv",".csv","131","True","False","True","""column"",""looks_like_group_id"",""looks_like_lat"",""looks_like_lon"",""looks_like_bounds"""
"E:\AAYS_DATA\estate_agents\estate018_spatial_parcel_join_candidate.csv",".csv","101","True","False","True","program_parcel_id,parcel_group_id,match_method,match_confidence,source_file,geometry_field,notes"
"E:\AAYS_DATA\estate_agents\estate020_parcel_group_join_candidate.csv",".csv","101","True","False","True","program_parcel_id,parcel_group_id,match_method,match_confidence,source_file,geometry_field,notes"
"E:\AAYS_DATA\estate_agents\estate020_parcel_schema_scan.csv",".csv","240","False","True","True","""path"",""parcel_col"",""group_col"",""lat_col"",""lon_col"",""can_direct_join"",""can_bbox_join"""
