"score","path","extension","length","parcel_col","group_col","lat_col","lon_col","geom_col","can_direct_join","can_bbox_join","can_geometry_review"
"15","E:\AAYS_DATA\estate_agents\estate020_parcel_group_join_candidate.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","E:\AAYS_DATA\estate_agents\estate018_spatial_parcel_join_candidate.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\terrayield_parcel_group_join_final_TEMPLATE_014.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate018_spatial_parcel_join_candidate.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","E:\AAYS_DATA\estate_agents\terrayield_parcel_group_join_final_TEMPLATE_014.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","E:\AAYS_DATA\estate_agents\estate017_parcel_group_join_candidate.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate016_parcel_group_join_final_candidate.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"15","E:\AAYS_DATA\estate_agents\estate016_parcel_group_join_final_candidate.csv",".csv","101","program_parcel_id","parcel_group_id","","","","yes","no","no"
"14","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-112-parcel-elevation-evidence-export-20260519.csv",".csv","27594","parcel_id","","centroid_lat","centroid_lon","","no","yes","no"
"13","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_group_contact_low_credit_20260524\PARCEL_GROUP_TO_PARCEL_TEMPLATE.csv",".csv","150","parcel_id","parcel_group_id","","","","yes","no","no"
"12","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\05_london_bbox_sample_parcels_with_air_quality.csv",".csv","284130","parcel_id","","lat","lon","","no","yes","no"
"9","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\security_accuracy_expansion\evidence_templates\parcel_match_audit_template.csv",".csv","164","parcel_id","","","","","no","no","no"
"9","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_geocode_probe.csv",".csv","5162","","","latitude","longitude","","no","no","no"
"9","C:\Users\cagda\Documents\GitHub\AAYS\security_accuracy_expansion\evidence_templates\parcel_match_audit_template.csv",".csv","164","parcel_id","","","","","no","no","no"
"9","C:\AAYS_GITHUB_BRIDGE_CLEAN2\security_accuracy_expansion\evidence_templates\parcel_match_audit_template.csv",".csv","164","parcel_id","","","","","no","no","no"
"8","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\contractor-004-exports\parcel_group_coverage_scores_EMPTY.csv",".csv","87","","parcel_group_id","","","","no","no","no"
"8","E:\AAYS_DATA\estate_agents\england_parcel_groups_200_seed.csv",".csv","31963","","parcel_group_id","","","","no","no","no"
