"agent_id","candidate_id","parcel_group_id","coverage_method","coverage_truth_score_4","source_url","source_file","notes"
"EA-REVIEW-EA-CAND-000020","EA-CAND-000020","ENG-PG-102","derived_from_geometry_centroid_join","2","https://jqwidgets.com/export_server/dataexport.php","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___pipeline.nista.grid.civilservice.gov.uk_assets_jqx-all.js_m_1773333865.0.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000020","EA-CAND-000020","ENG-PG-016","derived_from_geometry_centroid_join","2","https://jqwidgets.com/export_server/dataexport.php","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___pipeline.nista.grid.civilservice.gov.uk_assets_jqx-all.js_m_1773333865.0.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000020","EA-CAND-000020","ENG-PG-096","derived_from_geometry_centroid_join","2","https://jqwidgets.com/export_server/dataexport.php","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___pipeline.nista.grid.civilservice.gov.uk_assets_jqx-all.js_m_1773333865.0.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000023","EA-CAND-000023","ENG-PG-102","derived_from_geometry_centroid_join","2","http://momentjs.com/guides/#/warnings/define-locale/","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash-core-components_2.14.3_dash_core_components_dash_core_components.js.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000023","EA-CAND-000023","ENG-PG-016","derived_from_geometry_centroid_join","2","http://momentjs.com/guides/#/warnings/define-locale/","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash-core-components_2.14.3_dash_core_components_dash_core_components.js.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000023","EA-CAND-000023","ENG-PG-096","derived_from_geometry_centroid_join","2","http://momentjs.com/guides/#/warnings/define-locale/","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash-core-components_2.14.3_dash_core_components_dash_core_components.js.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000028","EA-CAND-000028","ENG-PG-102","derived_from_geometry_centroid_join","2","http://www.w3.org/2000/svg","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash_mantine_components_2.1.0_dash_mantine_components_dash_mantine_components.js.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000028","EA-CAND-000028","ENG-PG-016","derived_from_geometry_centroid_join","2","http://www.w3.org/2000/svg","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash_mantine_components_2.1.0_dash_mantine_components_dash_mantine_components.js.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000028","EA-CAND-000028","ENG-PG-096","derived_from_geometry_centroid_join","2","http://www.w3.org/2000/svg","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash_mantine_components_2.1.0_dash_mantine_components_dash_mantine_components.js.txt","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000072","EA-CAND-000072","ENG-PG-102","derived_from_geometry_centroid_join","2","http://localhost:8010/health","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\2026-05-02_22-46-55-terrayield-long-diagnostic-001.md","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000072","EA-CAND-000072","ENG-PG-016","derived_from_geometry_centroid_join","2","http://localhost:8010/health","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\2026-05-02_22-46-55-terrayield-long-diagnostic-001.md","Coverage from geometry centroid join. Review before DB import."
"EA-REVIEW-EA-CAND-000072","EA-CAND-000072","ENG-PG-096","derived_from_geometry_centroid_join","2","http://localhost:8010/health","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\2026-05-02_22-46-55-terrayield-long-diagnostic-001.md","Coverage from geometry centroid join. Review before DB import."
