"program_parcel_id","lon","lat","point_count","source_file","geometry_field","parse_method"
"midlands","-1,425","53,02","8","C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\reports\region_geometry_v2\midlands.json","json_or_geojson","json_geojson_numeric_centroid"
"29507001","-0,120289498355555","51,5003354875774","45000","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","json_or_geojson","json_geojson_numeric_centroid"
"29759443","0,166417325866668","51,6294783376667","15000","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","json_or_geojson","json_geojson_numeric_centroid"
"FINAL_3110_CURRENT_CONFIDENCE.points","2","56,4","5","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.points.geojson","json_or_geojson","json_geojson_numeric_centroid"
"FINAL_3110_CURRENT_CONFIDENCE.polygons","2","56,4","5","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson","json_or_geojson","json_geojson_numeric_centroid"
"29759443","-0,0486127923000001","51,5326212000999","60000","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","json_or_geojson","json_geojson_numeric_centroid"
"pmtiles_regions_full_scotland","-4,1","56,75","1","C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_full_scotland.json","json_or_geojson","json_geojson_numeric_centroid"
"pmtiles_regions_scotland_generated_v1","-4,1","56,75","1","C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_scotland_generated_v1.json","json_or_geojson","json_geojson_numeric_centroid"
"pmtiles_regions_england_generated_v2","-1,14902222222222","52,1690666666667","18","C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_england_generated_v2.json","json_or_geojson","json_geojson_numeric_centroid"
"pmtiles_regions_full_england","-1,4","52,27","5","C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_full_england.json","json_or_geojson","json_geojson_numeric_centroid"
"pmtiles_regions_england_generated","-1,14902222222222","52,1690666666667","18","C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_england_generated.json","json_or_geojson","json_geojson_numeric_centroid"
"29507001","-0,120289498355555","51,5003354875774","45000","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","json_or_geojson","json_geojson_numeric_centroid"
"29759443","-0,0486127923000001","51,5326212000999","60000","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","json_or_geojson","json_geojson_numeric_centroid"
"29759443","0,166417325866668","51,6294783376667","15000","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","json_or_geojson","json_geojson_numeric_centroid"
