"candidate_id","coverage_status","coverage_parcel_group_ids","reason"
"EA-CAND-000001","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000003","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000004","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000017","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000018","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000020","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000023","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000025","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000028","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000029","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000032","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000033","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000035","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000067","review_required_before_final_join","","No confirmed parcel_group_id join yet"
"EA-CAND-000072","review_required_before_final_join","","No confirmed parcel_group_id join yet"
