"listing_id","verification_id","listing_url","ai_price_status","ai_address_status","ai_location_status","ai_geometry_status","ai_confidence_0_100","suggested_score_price","suggested_score_address","suggested_score_location","suggested_score_geometry","decision_reason","source_url"
"OTM-10225397","rtsacc020-b0001-r0001","https://www.onthemarket.com/details/10225397/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10225397/"
"OTM-10278618","rtsacc020-b0001-r0002","https://www.onthemarket.com/details/10278618/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10278618/"
"OTM-10371311","rtsacc020-b0001-r0003","https://www.onthemarket.com/details/10371311/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10371311/"
"OTM-10541029","rtsacc020-b0001-r0004","https://www.onthemarket.com/details/10541029/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10541029/"
"OTM-10693127","rtsacc020-b0001-r0005","https://www.onthemarket.com/details/10693127/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10693127/"
"OTM-10849824","rtsacc020-b0001-r0006","https://www.onthemarket.com/details/10849824/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10849824/"
"OTM-10854933","rtsacc020-b0001-r0007","https://www.onthemarket.com/details/10854933/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10854933/"
"OTM-10866038","rtsacc020-b0001-r0008","https://www.onthemarket.com/details/10866038/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10866038/"
"OTM-10905789","rtsacc020-b0001-r0009","https://www.onthemarket.com/details/10905789/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10905789/"
"OTM-10935976","rtsacc020-b0001-r0010","https://www.onthemarket.com/details/10935976/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10935976/"
"OTM-10968251","rtsacc020-b0001-r0011","https://www.onthemarket.com/details/10968251/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10968251/"
"OTM-10973719","rtsacc020-b0001-r0012","https://www.onthemarket.com/details/10973719/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/10973719/"
"OTM-11110712","rtsacc020-b0001-r0013","https://www.onthemarket.com/details/11110712/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11110712/"
"OTM-11228776","rtsacc020-b0001-r0014","https://www.onthemarket.com/details/11228776/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11228776/"
"OTM-11301465","rtsacc020-b0001-r0015","https://www.onthemarket.com/details/11301465/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11301465/"
"OTM-11384326","rtsacc020-b0001-r0016","https://www.onthemarket.com/details/11384326/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11384326/"
"OTM-11488586","rtsacc020-b0001-r0017","https://www.onthemarket.com/details/11488586/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11488586/"
"OTM-11536660","rtsacc020-b0001-r0018","https://www.onthemarket.com/details/11536660/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11536660/"
"OTM-11567771","rtsacc020-b0001-r0019","https://www.onthemarket.com/details/11567771/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11567771/"
"OTM-11653690","rtsacc020-b0001-r0020","https://www.onthemarket.com/details/11653690/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11653690/"
"OTM-11715094","rtsacc020-b0001-r0021","https://www.onthemarket.com/details/11715094/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11715094/"
"OTM-11792219","rtsacc020-b0001-r0022","https://www.onthemarket.com/details/11792219/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11792219/"
"OTM-11860816","rtsacc020-b0001-r0023","https://www.onthemarket.com/details/11860816/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11860816/"
"OTM-11860840","rtsacc020-b0001-r0024","https://www.onthemarket.com/details/11860840/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11860840/"
"OTM-11886453","rtsacc020-b0001-r0025","https://www.onthemarket.com/details/11886453/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11886453/"
"OTM-11893224","rtsacc020-b0001-r0026","https://www.onthemarket.com/details/11893224/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11893224/"
"OTM-11905361","rtsacc020-b0001-r0027","https://www.onthemarket.com/details/11905361/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11905361/"
"OTM-11966753","rtsacc020-b0001-r0028","https://www.onthemarket.com/details/11966753/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11966753/"
"OTM-11992286","rtsacc020-b0001-r0029","https://www.onthemarket.com/details/11992286/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/11992286/"
"OTM-12019491","rtsacc020-b0001-r0030","https://www.onthemarket.com/details/12019491/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12019491/"
"OTM-12026022","rtsacc020-b0001-r0031","https://www.onthemarket.com/details/12026022/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12026022/"
"OTM-12152299","rtsacc020-b0001-r0032","https://www.onthemarket.com/details/12152299/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12152299/"
"OTM-12152301","rtsacc020-b0001-r0033","https://www.onthemarket.com/details/12152301/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12152301/"
"OTM-12214431","rtsacc020-b0001-r0034","https://www.onthemarket.com/details/12214431/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12214431/"
"OTM-12267671","rtsacc020-b0001-r0035","https://www.onthemarket.com/details/12267671/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12267671/"
"OTM-12270213","rtsacc020-b0001-r0036","https://www.onthemarket.com/details/12270213/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12270213/"
"OTM-12270280","rtsacc020-b0001-r0037","https://www.onthemarket.com/details/12270280/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12270280/"
"OTM-12301172","rtsacc020-b0001-r0038","https://www.onthemarket.com/details/12301172/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12301172/"
"OTM-12378722","rtsacc020-b0001-r0039","https://www.onthemarket.com/details/12378722/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12378722/"
"OTM-12405004","rtsacc020-b0001-r0040","https://www.onthemarket.com/details/12405004/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12405004/"
"OTM-12528329","rtsacc020-b0001-r0041","https://www.onthemarket.com/details/12528329/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12528329/"
"OTM-12529118","rtsacc020-b0001-r0042","https://www.onthemarket.com/details/12529118/","pending","pending","pending","pending","","","","","","scaffold_only_not_verified","https://www.onthemarket.com/details/12529118/"
