"rank_score","path","name","extension","length","last_write_time","join_status"
"7","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\PARCEL_EVIDENCE_RUNTIME_CONSISTENCY.json","PARCEL_EVIDENCE_RUNTIME_CONSISTENCY.json",".json","1171","16.05.2026 14:38:51","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_rechecked_0_120m_spatial.geojson","parcel_security_scores_rechecked_0_120m_spatial.geojson",".geojson","114290910","1.05.2026 02:36:45","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","parcel_topography_L2_MEDIUM_sample.geojson",".geojson","4784339","1.05.2026 00:45:26","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\POSTGIS_PARCEL_CANDIDATE_COLUMNS.csv","POSTGIS_PARCEL_CANDIDATE_COLUMNS.csv",".csv","9105","16.05.2026 14:38:52","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_uplift_no_downgrade.geojson","parcel_security_scores_uplift_no_downgrade.geojson",".geojson","82757992","1.05.2026 01:32:51","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\meta\britain_parcel_coverage_index.json","britain_parcel_coverage_index.json",".json","177195","29.03.2026 20:00:09","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","parcel_topography_L4_HIGH_sample.geojson",".geojson","14269544","1.05.2026 00:45:23","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_summary.json","parcel_topography_summary.json",".json","2518","1.05.2026 00:45:16","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_nearest_lsoa_rescue.geojson","parcel_security_scores_nearest_lsoa_rescue.geojson",".geojson","101058916","1.05.2026 01:59:27","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_match_summary.json","parcel_security_match_summary.json",".json","5984","1.05.2026 02:13:17","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_manifest.json","parcel_topography_manifest.json",".json","1584","1.05.2026 00:45:27","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","parcel_topography_sample_points.geojson",".geojson","19053793","1.05.2026 00:45:18","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_rechecked_0_120m.geojson","parcel_security_scores_rechecked_0_120m.geojson",".geojson","101059092","1.05.2026 02:08:42","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_L2_MEDIUM_sample_with_air_quality.geojson","parcel_topography_L2_MEDIUM_sample_with_air_quality.geojson",".geojson","9307056","1.05.2026 01:49:15","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_uplift_no_downgrade_with_air_quality.geojson","parcel_security_scores_uplift_no_downgrade_with_air_quality.geojson",".geojson","112813042","1.05.2026 01:45:06","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\britain_parcel_coverage_index.json","britain_parcel_coverage_index.json",".json","177195","28.03.2026 17:17:42","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\meta\britain_parcel_coverage_index.json","britain_parcel_coverage_index.json",".json","177195","10.05.2026 23:46:08","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_sample_points_with_air_quality.geojson","parcel_topography_sample_points_with_air_quality.geojson",".geojson","36916150","1.05.2026 01:47:18","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_L4_HIGH_sample_with_air_quality.geojson","parcel_topography_L4_HIGH_sample_with_air_quality.geojson",".geojson","27609135","1.05.2026 01:48:48","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\britain_parcel_coverage_index.csv","britain_parcel_coverage_index.csv",".csv","46559","28.03.2026 17:17:42","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_rechecked_0_120m.geojson","parcel_security_scores_rechecked_0_120m.geojson",".geojson","101059092","1.05.2026 02:08:42","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_rechecked_0_120m_spatial.geojson","parcel_security_scores_rechecked_0_120m_spatial.geojson",".geojson","101165757","1.05.2026 02:13:17","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\PUBLIC_PARCELS_METADATA.json","PUBLIC_PARCELS_METADATA.json",".json","2488","16.05.2026 15:06:19","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist\data\meta\britain_parcel_coverage_index.json","britain_parcel_coverage_index.json",".json","177195","29.03.2026 20:00:09","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_match_summary.json","parcel_security_match_summary.json",".json","5984","1.05.2026 02:13:17","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_uplift_no_downgrade.geojson","parcel_security_scores_uplift_no_downgrade.geojson",".geojson","82757992","1.05.2026 01:32:51","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_nearest_lsoa_rescue.geojson","parcel_security_scores_nearest_lsoa_rescue.geojson",".geojson","101058916","1.05.2026 01:59:27","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_parcels.json","endpoint__map_sales-history_parcels.json",".json","132180","2.05.2026 19:17:22","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\security_accuracy_expansion\schemas\parcel_security_evidence_schema.json","parcel_security_evidence_schema.json",".json","1248","11.05.2026 00:41:43","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\05_london_bbox_sample_parcels_with_air_quality.csv","05_london_bbox_sample_parcels_with_air_quality.csv",".csv","284130","1.05.2026 02:03:02","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_summary.json","parcel_topography_summary.json",".json","2518","1.05.2026 00:45:16","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","parcel_topography_L4_HIGH_sample.geojson",".geojson","14269544","1.05.2026 00:45:23","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","parcel_topography_L2_MEDIUM_sample.geojson",".geojson","4784339","1.05.2026 00:45:26","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","parcel_topography_sample_points.geojson",".geojson","19053793","1.05.2026 00:45:18","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_manifest.json","parcel_topography_manifest.json",".json","1584","1.05.2026 00:45:27","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\PARCEL_477_LOCAL_SOURCE_TRACE_FAST_MATCHES.csv","PARCEL_477_LOCAL_SOURCE_TRACE_FAST_MATCHES.csv",".csv","56378","16.05.2026 15:35:02","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_scores.geojson","parcel_air_quality_scores.geojson",".geojson","3773512","1.05.2026 02:04:02","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_score_manifest_step36.json","parcel_air_quality_score_manifest_step36.json",".json","5816","1.05.2026 02:04:03","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_candidate_inventory_step36.json","parcel_candidate_inventory_step36.json",".json","77059","1.05.2026 02:02:53","candidate_only"
"7","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\security_accuracy_expansion\schemas\parcel_security_evidence_schema.json","parcel_security_evidence_schema.json",".json","1248","15.05.2026 22:48:20","candidate_only"
