"path","bytes","score","reason"
"E:\AAYS_DATA\estate_agents\estate004_coverage_mapping_contract_parallel100.md","403","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate006_verified_export_template_parallel100.csv","301","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate011_candidate_review_queue.csv","91593","7","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate014_agent_evidence_extracted.csv","4793","6","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate015_strict_review_ready_agents.csv","2393","8","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate016_agent_verified_final_candidate.csv","17223824","8","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate017_parcel_schema_deep_samples.csv","35916","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_candidates_from_local_artifacts_003.csv","91593","7","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_missing_work_closure_plan_005.md","1837","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_parcel_join_codex_spec_007.md","1023","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_required_deliverables_005.csv","920","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_unverified_candidates_012.csv","31543","5","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_export_dryrun_006.csv","301","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_export_parallel_template_006.csv","301","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_final.csv","17223824","8","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_final_TEMPLATE_014.csv","202","4","filtered_real_source_candidate"
"E:\AAYS_DATA\estate_agents\estate_final_excel_required_columns_012.csv","722","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\2026-05-04_06-14-14-terrayield-verification-035-api-rootcause-recovery.md","31488","5","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\2026-05-15_22-18-51-aays-109b-branch-integration-build-test-timeout-20260515-2215.md","624","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-095-risk-preview-20260515_024128.csv","173754","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-095-risk-preview-20260515_024129.csv","173754","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-097-risk-preview-v2-20260515_025239.csv","173683","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-097-risk-preview-v2-20260515_025249.csv","173683","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-109b-branch-integration-build-test-timeout-20260515-2215.report.md","3604","5","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate005-gap-closure-plan.report.md","1837","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate011_candidate_review_queue.csv","91593","7","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate014_agent_evidence_extracted.csv","4793","6","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate015_strict_review_ready_agents.csv","2393","8","filtered_real_source_candidate"
