PREVIEW_FILE=best_model_by_target_structure_type.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\best_model_by_target_structure_type.csv
SIZE=1433

target,structure_type,model,r2_or_auc,mae,rmse,gate_status,train_rows,test_rows
price_gbp_m2,Konut,GradientBoosting,0.1099,94.9924,127.883,PASS,787,262
sale_duration_months,Konut,GradientBoosting,0.0714,102.2385,132.7776,WARN,787,262
sold_within_12m,Konut,RandomForest,0.0583,97.954,120.3666,WARN,787,262
price_gbp_m2,Ofis,RandomForest,0.1113,90.5253,129.8498,PASS,787,262
sale_duration_months,Ofis,RandomForest,0.0668,101.7885,135.7107,WARN,787,262
sold_within_12m,Ofis,ElasticNet,0.0588,100.6223,127.4585,WARN,787,262
price_gbp_m2,Dukkan,GradientBoosting,0.1138,91.2103,118.5244,PASS,787,262
sale_duration_months,Dukkan,RandomForest,0.0673,94.0256,140.6853,WARN,787,262
sold_within_12m,Dukkan,ExtraTrees,0.0598,101.4931,121.5986,WARN,787,262
price_gbp_m2,Sanayi,RandomForest,0.1106,89.0163,107.6251,PASS,787,262
sale_duration_months,Sanayi,GradientBoosting,0.0751,94.1885,116.1368,WARN,787,262
sold_within_12m,Sanayi,HistGradientBoosting,0.0653,94.0745,124.021,WARN,787,262
price_gbp_m2,Arsa,RandomForest,0.1238,87.7988,106.1311,PASS,787,262
sale_duration_months,Arsa,HistGradientBoosting,0.0706,94.0952,139.4233,WARN,787,262
sold_within_12m,Arsa,GradientBoosting,0.0689,98.4169,140.7582,WARN,787,262
price_gbp_m2,Karma,ElasticNet,0.1024,97.029,130.3263,PASS,787,262
sale_duration_months,Karma,LinearRegression,0.0595,95.9291,133.5562,WARN,787,262
sold_within_12m,Karma,KNN,0.0465,100.5979,134.9469,WARN,787,262
