PREVIEW_FILE=factor_model_results_all.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\factor_model_results_all.csv
SIZE=235648

target,structure_type,model,factor,factor_effect_pct,absolute_effect_strength,interpretation
price_gbp_m2,Konut,LinearRegression,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,LinearRegression,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,LinearRegression,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,LinearRegression,quality_score,34.5612,34.5612,positive
price_gbp_m2,Konut,LinearRegression,distance_to_center_km,-44.908,44.908,negative
price_gbp_m2,Konut,LinearRegression,parking_ratio,9.1959,9.1959,positive
price_gbp_m2,Konut,LinearRegression,green_area_ratio,1.7244,1.7244,positive
price_gbp_m2,Konut,LinearRegression,campaign_discount_pct,-17.336,17.336,negative
price_gbp_m2,Konut,LinearRegression,macro_rate_pct,2.4706,2.4706,positive
price_gbp_m2,Konut,LinearRegression,supply_index,-15.553,15.553,negative
price_gbp_m2,Konut,LinearRegression,demand_index,10.5931,10.5931,positive
price_gbp_m2,Konut,LinearRegression,sale_year,2.5434,2.5434,positive
price_gbp_m2,Konut,LinearRegression,sale_month,-7.579,7.579,negative
price_gbp_m2,Konut,LinearRegression,region,-10.3172,10.3172,negative
price_gbp_m2,Konut,LinearRegression,sales_channel,2.6334,2.6334,positive
price_gbp_m2,Konut,Ridge,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,Ridge,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,Ridge,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,Ridge,quality_score,34.5612,34.5612,positive
price_gbp_m2,Konut,Ridge,distance_to_center_km,-44.908,44.908,negative
price_gbp_m2,Konut,Ridge,parking_ratio,9.1959,9.1959,positive
price_gbp_m2,Konut,Ridge,green_area_ratio,1.7244,1.7244,positive
price_gbp_m2,Konut,Ridge,campaign_discount_pct,-17.336,17.336,negative
price_gbp_m2,Konut,Ridge,macro_rate_pct,2.4706,2.4706,positive
price_gbp_m2,Konut,Ridge,supply_index,-15.553,15.553,negative
price_gbp_m2,Konut,Ridge,demand_index,10.5931,10.5931,positive
price_gbp_m2,Konut,Ridge,sale_year,2.5434,2.5434,positive
price_gbp_m2,Konut,Ridge,sale_month,-7.579,7.579,negative
price_gbp_m2,Konut,Ridge,region,-10.3172,10.3172,negative
price_gbp_m2,Konut,Ridge,sales_channel,2.6334,2.6334,positive
price_gbp_m2,Konut,Lasso,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,Lasso,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,Lasso,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,Lasso,quality_score,34.5612,34.5612,positive
price_gbp_m2,Konut,Lasso,distance_to_center_km,-44.908,44.908,negative
price_gbp_m2,Konut,Lasso,parking_ratio,9.1959,9.1959,positive
price_gbp_m2,Konut,Lasso,green_area_ratio,1.7244,1.7244,positive
price_gbp_m2,Konut,Lasso,campaign_discount_pct,-17.336,17.336,negative
price_gbp_m2,Konut,Lasso,macro_rate_pct,2.4706,2.4706,positive
price_gbp_m2,Konut,Lasso,supply_index,-15.553,15.553,negative
price_gbp_m2,Konut,Lasso,demand_index,10.5931,10.5931,positive
price_gbp_m2,Konut,Lasso,sale_year,2.5434,2.5434,positive
price_gbp_m2,Konut,Lasso,sale_month,-7.579,7.579,negative
price_gbp_m2,Konut,Lasso,region,-10.3172,10.3172,negative
price_gbp_m2,Konut,Lasso,sales_channel,2.6334,2.6334,positive
price_gbp_m2,Konut,ElasticNet,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,ElasticNet,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,ElasticNet,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,ElasticNet,quality_score,34.5612,34.5612,positive
price_gbp_m2,Konut,ElasticNet,distance_to_center_km,-44.908,44.908,negative
price_gbp_m2,Konut,ElasticNet,parking_ratio,9.1959,9.1959,positive
price_gbp_m2,Konut,ElasticNet,green_area_ratio,1.7244,1.7244,positive
price_gbp_m2,Konut,ElasticNet,campaign_discount_pct,-17.336,17.336,negative
