PREVIEW_FILE=model_performance_all.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\model_performance_all.csv
SIZE=15659

target,structure_type,model,r2_or_auc,mae,rmse,gate_status,train_rows,test_rows
price_gbp_m2,Konut,LinearRegression,0.0989,92.8392,129.6172,WARN,787,262
price_gbp_m2,Konut,Ridge,0.0997,93.227,111.7671,WARN,787,262
price_gbp_m2,Konut,Lasso,0.1004,99.9049,124.05,PASS,787,262
price_gbp_m2,Konut,ElasticNet,0.0883,92.4986,113.7609,WARN,787,262
price_gbp_m2,Konut,DecisionTree,0.0651,101.3768,146.0244,WARN,787,262
price_gbp_m2,Konut,RandomForest,0.0944,97.3757,126.272,WARN,787,262
price_gbp_m2,Konut,ExtraTrees,0.0949,93.9774,126.8024,WARN,787,262
price_gbp_m2,Konut,GradientBoosting,0.1099,94.9924,127.883,PASS,787,262
price_gbp_m2,Konut,HistGradientBoosting,0.0943,96.5118,147.6285,WARN,787,262
price_gbp_m2,Konut,KNN,0.0933,96.4761,121.1083,WARN,787,262
price_gbp_m2,Konut,SVR,0.0804,96.546,144.4166,WARN,787,262
price_gbp_m2,Konut,BayesianRidge,0.0743,98.0065,132.0772,WARN,787,262
sale_duration_months,Konut,LinearRegression,0.0487,96.6868,141.3539,WARN,787,262
sale_duration_months,Konut,Ridge,0.0546,97.3734,123.6474,WARN,787,262
sale_duration_months,Konut,Lasso,0.0603,94.1246,109.1879,WARN,787,262
sale_duration_months,Konut,ElasticNet,0.0534,104.5846,141.1977,WARN,787,262
sale_duration_months,Konut,DecisionTree,0.0665,94.2743,139.2876,WARN,787,262
sale_duration_months,Konut,RandomForest,0.0519,101.4101,153.8843,WARN,787,262
sale_duration_months,Konut,ExtraTrees,0.0658,100.9617,139.7333,WARN,787,262
sale_duration_months,Konut,GradientBoosting,0.0714,102.2385,132.7776,WARN,787,262
sale_duration_months,Konut,HistGradientBoosting,0.0504,95.4028,111.4102,WARN,787,262
sale_duration_months,Konut,KNN,0.039,102.2864,126.0262,WARN,787,262
sale_duration_months,Konut,SVR,0.0284,98.8707,115.8071,WARN,787,262
sale_duration_months,Konut,BayesianRidge,0.0398,104.8362,159.5383,WARN,787,262
sold_within_12m,Konut,LinearRegression,0.0446,101.4907,131.1866,WARN,787,262
sold_within_12m,Konut,Ridge,0.0288,100.6609,153.2113,WARN,787,262
sold_within_12m,Konut,Lasso,0.0228,100.4853,123.2939,WARN,787,262
sold_within_12m,Konut,ElasticNet,0.0376,100.8623,126.3996,WARN,787,262
sold_within_12m,Konut,DecisionTree,0.0428,102.3888,121.4745,WARN,787,262
sold_within_12m,Konut,RandomForest,0.0583,97.954,120.3666,WARN,787,262
sold_within_12m,Konut,ExtraTrees,0.0416,100.1001,121.0096,WARN,787,262
sold_within_12m,Konut,GradientBoosting,0.0304,104.2219,133.1426,WARN,787,262
sold_within_12m,Konut,HistGradientBoosting,0.0577,95.2043,132.6354,WARN,787,262
sold_within_12m,Konut,KNN,0.0425,101.871,128.6431,WARN,787,262
sold_within_12m,Konut,SVR,0.0255,101.0392,116.811,WARN,787,262
sold_within_12m,Konut,BayesianRidge,0.0545,95.0475,115.2108,WARN,787,262
price_gbp_m2,Ofis,LinearRegression,0.1058,98.6766,141.7877,PASS,787,262
price_gbp_m2,Ofis,Ridge,0.1079,92.7748,124.1321,PASS,787,262
price_gbp_m2,Ofis,Lasso,0.0748,102.3794,157.1434,WARN,787,262
price_gbp_m2,Ofis,ElasticNet,0.0952,97.4539,141.9974,WARN,787,262
price_gbp_m2,Ofis,DecisionTree,0.0768,97.9643,129.7504,WARN,787,262
price_gbp_m2,Ofis,RandomForest,0.1113,90.5253,129.8498,PASS,787,262
price_gbp_m2,Ofis,ExtraTrees,0.0903,97.1468,142.207,WARN,787,262
price_gbp_m2,Ofis,GradientBoosting,0.1076,98.3596,126.1804,PASS,787,262
price_gbp_m2,Ofis,HistGradientBoosting,0.0914,98.5893,125.3124,WARN,787,262
price_gbp_m2,Ofis,KNN,0.0823,98.1607,151.0812,WARN,787,262
price_gbp_m2,Ofis,SVR,0.0648,97.3242,123.3934,WARN,787,262
price_gbp_m2,Ofis,BayesianRidge,0.08,96.8194,114.892,WARN,787,262
sale_duration_months,Ofis,LinearRegression,0.0446,104.6032,133.0773,WARN,787,262
sale_duration_months,Ofis,Ridge,0.0234,104.184,140.5169,WARN,787,262
sale_duration_months,Ofis,Lasso,0.0486,99.7329,148.6461,WARN,787,262
sale_duration_months,Ofis,ElasticNet,0.0404,98.5678,148.702,WARN,787,262
sale_duration_months,Ofis,DecisionTree,0.0436,97.171,141.9087,WARN,787,262
sale_duration_months,Ofis,RandomForest,0.0668,101.7885,135.7107,WARN,787,262
sale_duration_months,Ofis,ExtraTrees,0.0471,98.8596,142.0183,WARN,787,262
sale_duration_months,Ofis,GradientBoosting,0.0519,97.622,126.2742,WARN,787,262
