PREVIEW_FILE=selected_best_model_by_factor_type.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\selected_best_model_by_factor_type.csv
SIZE=20526

target,structure_type,model,factor,factor_effect_pct,absolute_effect_strength,interpretation
price_gbp_m2,Konut,GradientBoosting,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,GradientBoosting,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,GradientBoosting,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,GradientBoosting,quality_score,34.5612,34.5612,positive
price_gbp_m2,Konut,GradientBoosting,distance_to_center_km,-44.908,44.908,negative
price_gbp_m2,Konut,GradientBoosting,parking_ratio,9.1959,9.1959,positive
price_gbp_m2,Konut,GradientBoosting,green_area_ratio,1.7244,1.7244,positive
price_gbp_m2,Konut,GradientBoosting,campaign_discount_pct,-17.336,17.336,negative
price_gbp_m2,Konut,GradientBoosting,macro_rate_pct,2.4706,2.4706,positive
price_gbp_m2,Konut,GradientBoosting,supply_index,-15.553,15.553,negative
price_gbp_m2,Konut,GradientBoosting,demand_index,10.5931,10.5931,positive
price_gbp_m2,Konut,GradientBoosting,sale_year,2.5434,2.5434,positive
price_gbp_m2,Konut,GradientBoosting,sale_month,-7.579,7.579,negative
price_gbp_m2,Konut,GradientBoosting,region,-10.3172,10.3172,negative
price_gbp_m2,Konut,GradientBoosting,sales_channel,2.6334,2.6334,positive
sale_duration_months,Konut,GradientBoosting,size_m2,6.1254,6.1254,positive
sale_duration_months,Konut,GradientBoosting,floor_count,-1.4489,1.4489,negative
sale_duration_months,Konut,GradientBoosting,age_at_sale_months,29.4609,29.4609,positive
sale_duration_months,Konut,GradientBoosting,quality_score,1.8249,1.8249,positive
sale_duration_months,Konut,GradientBoosting,distance_to_center_km,-0.2491,0.2491,negative
sale_duration_months,Konut,GradientBoosting,parking_ratio,4.0668,4.0668,positive
sale_duration_months,Konut,GradientBoosting,green_area_ratio,6.6266,6.6266,positive
sale_duration_months,Konut,GradientBoosting,campaign_discount_pct,1.2945,1.2945,positive
sale_duration_months,Konut,GradientBoosting,macro_rate_pct,7.3819,7.3819,positive
sale_duration_months,Konut,GradientBoosting,supply_index,2.1199,2.1199,positive
sale_duration_months,Konut,GradientBoosting,demand_index,-3.5016,3.5016,negative
sale_duration_months,Konut,GradientBoosting,sale_year,13.0924,13.0924,positive
sale_duration_months,Konut,GradientBoosting,sale_month,-9.0685,9.0685,negative
sale_duration_months,Konut,GradientBoosting,region,3.9821,3.9821,positive
sale_duration_months,Konut,GradientBoosting,sales_channel,-4.8431,4.8431,negative
sold_within_12m,Konut,RandomForest,size_m2,-5.5441,5.5441,negative
sold_within_12m,Konut,RandomForest,floor_count,3.2375,3.2375,positive
sold_within_12m,Konut,RandomForest,age_at_sale_months,-20.0731,20.0731,negative
sold_within_12m,Konut,RandomForest,quality_score,2.7464,2.7464,positive
sold_within_12m,Konut,RandomForest,distance_to_center_km,2.0047,2.0047,positive
sold_within_12m,Konut,RandomForest,parking_ratio,-2.4528,2.4528,negative
sold_within_12m,Konut,RandomForest,green_area_ratio,-5.1576,5.1576,negative
sold_within_12m,Konut,RandomForest,campaign_discount_pct,3.6311,3.6311,positive
sold_within_12m,Konut,RandomForest,macro_rate_pct,-3.6058,3.6058,negative
sold_within_12m,Konut,RandomForest,supply_index,-0.8081,0.8081,negative
sold_within_12m,Konut,RandomForest,demand_index,3.3061,3.3061,positive
sold_within_12m,Konut,RandomForest,sale_year,-8.3688,8.3688,negative
sold_within_12m,Konut,RandomForest,sale_month,9.8808,9.8808,positive
sold_within_12m,Konut,RandomForest,region,-0.7516,0.7516,negative
sold_within_12m,Konut,RandomForest,sales_channel,1.3944,1.3944,positive
price_gbp_m2,Ofis,RandomForest,size_m2,-0.8841,0.8841,negative
price_gbp_m2,Ofis,RandomForest,floor_count,-7.0337,7.0337,negative
price_gbp_m2,Ofis,RandomForest,age_at_sale_months,6.1458,6.1458,positive
