type,path,status,note
repo_worktree,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706,active,topography local runtime root
page_root,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\docs\chatgpt_status\AAYS_REAL_TOPOGRAPHY_PRODUCT,active,page key root
canonical_report,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\docs\chatgpt_status\AAYS_REAL_TOPOGRAPHY_PRODUCT\reports\pb_runtime_finalization_single_runner_20260617T000000Z.txt,exists,local final 100 tokens
canonical_status,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\docs\chatgpt_status\AAYS_REAL_TOPOGRAPHY_PRODUCT\status\pb_runtime_finalization_single_runner_20260617T000000Z.status.txt,exists,local final ready status
runtime_report,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\docs\chatgpt_status\AAYS_REAL_TOPOGRAPHY_PRODUCT\reports\topography_chatgpt_runtime_gap_report_20260616_2254_v2.txt,exists,topography runtime proof
frontend_contract,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\england_map_web\static\js\app.js,exists,topography popup contract
backend_route,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\terrayield_land_intelligence\app\api\routes\topography_lookup_v2.py,exists,topography lookup route
overlay_config,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\england_map_web\config\topography.overlay.json,exists,topography overlay metadata
runner_state,F:\chatgpt\AAYS_WORK\single_runner\state\MULTI_PAGE,active,shared runner state root
london_tiles,D:\topografik_map\london\terrarium_tiles,exists,confirmed london source
london_lookup_source,F:\AAYS\london_parcel_sources\topography_reports\LONDON_ALL_PARCELS_TOPOGRAPHY_4LEVEL_20260501_001116.csv.gz,exists,confirmed london source
england_raw,D:\AAYS_DATA\topography\england\raw,unproven,england wide source not proven
england_tiles,D:\AAYS_DATA\topography\england\tiles,unproven,england wide source not proven
england_processed,D:\AAYS_DATA\topography\england\processed,unproven,england wide source not proven
wrong_nested_recovery,F:\chatgpt\AAYS_WORKTREES\aays-runner-v17-icon-work-20260603-232706\docs\chatgpt_status\AAYS_REAL_TOPOGRAPHY_PRODUCT\reports\codex_nested_path_recovery_20260623-023745.txt,exists,recovered wrong nested evidence list
