row_id,parcel_ref,source_url,source_title,source_verification_score_4,accuracy_score_4,confidence_percent,integration_status,geometry_status,needs_manual_review
7,18731393,https://www.onthemarket.com/details/11886453/,"Walton, Street, Somerset, BA16 Plot for sale",3.25,3.25,81,source_verified_integrated,geometry_not_asserted_source_only,true
8,23573075,https://www.onthemarket.com/details/11893224/,"Self Build Plots Land for sale - £150,000",3.25,3.25,81,source_verified_integrated,geometry_not_asserted_source_only,true
18,55651736,https://www.onthemarket.com/details/12557806/,"Land To The North of Rainy Close... Land for sale - £15,575",3.25,3.25,81,source_verified_integrated,geometry_not_asserted_source_only,true
28,58464288,https://www.onthemarket.com/details/12798241/,"Old Gloucester Road, Ross-on-Wye Land for sale - £145,000",3.25,3.25,81,source_verified_integrated,geometry_not_asserted_source_only,true
29,37288548,https://www.onthemarket.com/details/12818660/,"Brissenden Green Lane, Ashford TN26 Land for sale - £19,000",3.25,3.25,81,source_verified_integrated,geometry_not_asserted_source_only,true
9,56537215,https://www.onthemarket.com/details/12019491/,"Kings Court, Kettering Parkway... Land for sale",3.0,3.0,75,source_verified_integrated,geometry_not_asserted_source_only,true
10,62277824,https://www.onthemarket.com/details/12152299/,"Plot For Sale, Dilwyn, Hereford, HR4 Land for sale - £235,000",3.0,3.0,75,source_verified_integrated,geometry_not_asserted_source_only,true
11,62277824,https://www.onthemarket.com/details/12152301/,"Great House Orchard, Dilwyn... Land for sale - £230,000",3.0,3.0,75,source_verified_integrated,geometry_not_asserted_source_only,true
12,63844297,https://www.onthemarket.com/details/12214431/,"Land and Building At Greenway Farm... Land for sale - £250,000",3.0,3.0,75,source_verified_integrated,geometry_not_asserted_source_only,true
13,26124689,https://www.onthemarket.com/details/12267671/,"House & Two Plots, Smithfield, Pity... Land for sale",3.0,3.0,75,source_verified_integrated,geometry_not_asserted_source_only,true
