review_status,listing_id,provider_listing_id,title,ask_price_raw,price_gbp_numeric,site_area_m2,postcode,local_authority,address_text,latitude,longitude,matched_parcel_ref,matched_inspire_id,current_geometry_accuracy,current_geometry_accuracy_label,current_geometry_class,current_geometry_source,current_geometry_source_file,current_geometry_reason,listing_url,candidate_bbox_w_s_e_n,candidate_centroid_lon,candidate_centroid_lat,candidate_vertex_count,candidate_geometry_type,candidate_geometry_geojson,required_evidence_before_upgrade,upgrade_allowed_to,ai_review_instruction
needs_source_geometry_review,OTM-10371311,10371311,Land for sale,150000,150000,739.527,B64,Sandwell,"HALESOWEN ROAD ( TRINITY STREET ), OLDHILL, CRADLEY HEATH B64",52.475717,-2.068004,61829008,england:birmingham-city-council:61829008,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10371311/,"-2.068198,52.475587,-2.067810,52.475847",-2.068004,52.475717,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-2.0682045334897423,52.475594855530275],[-2.067803466510258,52.475594855530275],[-2.067803466510258,52.47583914446973],[-2.0682045334897423,52.47583914446973],[-2.0682045334897423,52.475594855530275]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-10541029,10541029,Land for sale,89950,89950,705.522,PE12 7BZ,South Holland,"Green Lane, Holbeach, PE12 7BZ",52.802852,0.01664,37251728,england:peterborough-city-council:37251728,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10541029/,"0.016433,52.802736,0.016847,52.802968",0.01664,52.802852,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[0.016442660939446265,52.80273269680305],[0.016837339060553732,52.80273269680305],[0.016837339060553732,52.802971303196955],[0.016442660939446265,52.802971303196955],[0.016442660939446265,52.80273269680305]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-10849824,10849824,Land for sale,175000,175000,23904.47,LA18 5BH,Cumberland,"Holborn Hill, Millom, Cumbria",54.212002,-3.273313,18593780,england:lancaster-city-council:18593780,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10849824/,"-3.274529,54.211262,-3.272097,54.212742",-3.273313,54.212002,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-3.2745005122135726,54.211307557386675],[-3.272125487786427,54.211307557386675],[-3.272125487786427,54.21269644261332],[-3.2745005122135726,54.21269644261332],[-3.2745005122135726,54.211307557386675]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-10854933,10854933,Land for sale,300000,300000,1861.554,NE9 6DR,Gateshead,"Land At Eastern Avenue, Low Fell",54.934292,-1.607112,26054279,england:durham-county-council:26054279,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10854933/,"-1.607451,54.934094,-1.606773,54.934490",-1.607112,54.934292,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-1.6074493128540777,54.93409820854384],[-1.6067746871459225,54.93409820854384],[-1.6067746871459225,54.93448579145616],[-1.6074493128540777,54.93448579145616],[-1.6074493128540777,54.93409820854384]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-10866038,10866038,Land for sale,325000,325000,29461.113,DY5,Dudley,"DEVELOPMENT SITE - ASTONS FOLD, OFF CALEDONIA / BAGLEYS ROAD, QUARRY BANK, BRIERLEY HILL DY5",52.463917,-2.125133,64054021,england:wyre-forest-district-council:64054021,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10866038/,"-2.126399,52.463139,-2.123867,52.464695",-2.125133,52.463917,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-2.1263983714927006,52.4631460585798],[-2.1238676285072993,52.4631460585798],[-2.1238676285072993,52.4646879414202],[-2.1263983714927006,52.4646879414202],[-2.1263983714927006,52.4631460585798]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-10968251,10968251,Plot for sale,18000,18000,400.639,BR2,Bromley,"Layhams Road, Keston, BR2",51.339053,0.002981,39015689,england:mid-sussex-district-council:39015689,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10968251/,"0.002837,51.338962,0.003125,51.339144",0.002981,51.339053,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[0.0028370888094319583,51.338963097158526],[0.003124911190568042,51.338963097158526],[0.003124911190568042,51.33914290284147],[0.0028370888094319583,51.33914290284147],[0.0028370888094319583,51.338963097158526]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-10973719,10973719,Land for sale,200000,200000,5935.387,A47,Fenland,"North End, Wisbech",52.668905,0.157853,37991525,england:peterborough-city-council:37991525,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/10973719/,"0.157266,52.668531,0.158440,52.669279",0.157853,52.668905,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[0.15728237895753988,52.66855896397458],[0.1584236210424601,52.66855896397458],[0.1584236210424601,52.66925103602542],[0.15728237895753988,52.66925103602542],[0.15728237895753988,52.66855896397458]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-11301465,11301465,Plot for sale,180000,180000,60702.846,EX22 6EQ,Torridge,"Church Lane, Holsworthy, Devon",50.810649,-4.352031,57176916,england:cornwall-council:57176916,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/11301465/,"-4.353768,50.809413,-4.350294,50.811885",-4.352031,50.810649,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-4.3537823103253706,50.80954237281887],[-4.35027968967463,50.80954237281887],[-4.35027968967463,50.81175562718113],[-4.3537823103253706,50.81175562718113],[-4.3537823103253706,50.80954237281887]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-11488586,11488586,Land for sale,695000,695000,512817.646,PL5,Plymouth,"Woodland West Of Roborough, Tamerton Foliot, Plymouth, PL5",50.434876,-4.128564,15226692,england:cornwall-council:15226692,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/11488586/,"-4.134151,50.431724,-4.122977,50.438028",-4.128564,50.434876,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-4.1336137471386065,50.4316595390209],[-4.123514252861393,50.4316595390209],[-4.123514252861393,50.43809246097911],[-4.1336137471386065,50.43809246097911],[-4.1336137471386065,50.4316595390209]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
needs_source_geometry_review,OTM-11536660,11536660,Land for sale,180000,180000,1011.714,A30,West Devon,"Hatherleigh, Okehampton",50.822341,-4.068913,15666358,england:mid-devon-district-council:15666358,2/4,Medium Accuracy,candidate_or_sale_footprint_geometry_not_official,FINAL_3110_CURRENT_CONFIDENCE candidate polygon,C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson,Candidate/footprint geometry exists but is not official parcel boundary geometry; do not draw as dark-orange official parcel.,https://www.onthemarket.com/details/11536660/,"-4.069158,50.822190,-4.068668,50.822492",-4.068913,50.822341,9,Polygon,"{""type"":""Polygon"",""coordinates"":[[[-4.069139149790092,50.8221981350523],[-4.068686850209908,50.8221981350523],[-4.068686850209908,50.822483864947706],[-4.069139149790092,50.822483864947706],[-4.069139149790092,50.8221981350523]]]}",official parcel boundary / listing plan / source map screenshot + source_url + coordinate-match explanation,3/4 if official/pipeline-matched geometry found; 4/4 only if human/source-page verified,"Open listing/source URL, capture parcel/map/plan evidence if legally visible, compare with candidate centroid/bbox, record screenshot path/source URL, do not invent geometry."
