candidate_id,parcel_id,sale_year,sale_date,sale_price_gbp,sale_area_m2,sale_price_per_m2_gbp,property_type,address,postcode,source_file,source_type,source_score
1,england:wyre-borough-council:56977268,2021,2021-09-10,500000.0,,,O,"GOLDEN BALL, FLAT 5, SCHOOL LANE, PRESTON",PR3 6AA,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
2,england:ashford-borough-council:57120055,2025,2025-04-29,216972.0,,,T,"26, KINGS AVENUE, ASHFORD",TN23 1AT,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
3,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
4,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
5,england:blackburn-with-darwen-borough-council:57601265,2025,2025-09-26,160000.0,,,T,"1610, SCANT ROW, BOLTON",BL6 6PZ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
6,england:braintree-district-council:58456485,2025,2025-10-31,192500.0,,,T,"2, SCHOOL ROAD, WITHAM",CM8 3RZ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
7,england:calderdale-metropolitan-borough-council:24216395,2024,2024-06-24,97000.0,,,T,"134, CLAREMOUNT ROAD, HALIFAX",HX3 6JQ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
8,england:cherwell-district-council:30249041,2025,2025-09-25,310000.0,,,S,"12, BUCKINGHAM STREET, BUCKINGHAM",MK18 4QY,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
9,england:cornwall-council:62467909,2026,2026-01-21,530000.0,,,D,"LITTLE CARFELLIS, ST AUSTELL",PL26 8YQ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
10,england:north-west-leicestershire-district-council:27404656,2026,2026-01-30,240000.0,,,T,"THE COTTAGES, 4, CHAPEL STREET, ASHBY-DE-LA-ZOUCH",LE65 2TJ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
11,england:peterborough-city-council:34388716,2025,2025-02-28,1070000.0,,,D,"44A, CHURCH STREET, PETERBOROUGH",PE6 9BN,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
12,england:wiltshire-council:22332836,2025,2025-03-31,330000.0,,,T,"37, BADER PARK, MELKSHAM",SN12 6UF,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
