parcel_id,sale_year,sale_date,sale_price_gbp,sale_area_m2,sale_price_per_m2_gbp,property_type,address,postcode,source_file,source_type,source_confidence_score,match_type,matched_inspire_id,matched_parcel_ref
70,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:birmingham-city-council:57224151,57224151
312,2025,2025-12-01,80000.0,,,O,"SCOUT BARN, MARIS MEADOW, ST ALBANS",AL3 7FB,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:dacorum-borough-council:33728465,33728465
389,2026,2026-01-27,675000.0,,,S,"TREFILLEN LODGE, WHITEMOOR, WIMBORNE",BH21 7DA,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:dorset-council:51543275,51543275
423,2026,2026-01-30,365000.0,,,T,"3, SOUTH TERRACE, CHELTENHAM",GL54 2LG,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:cotswold-district-council:25099043,25099043
507,2007,2007-12-14,180000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:east-riding-of-yorkshire-council:50993080,50993080
507,2014,2014-01-30,145000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:east-riding-of-yorkshire-council:50993080,50993080
638,2026,2026-01-30,240000.0,,,T,"THE COTTAGES, 4, CHAPEL STREET, ASHBY-DE-LA-ZOUCH",LE65 2TJ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:north-west-leicestershire-district-council:27404656,27404656
639,2025,2025-09-26,160000.0,,,T,"1610, SCANT ROW, BOLTON",BL6 6PZ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:blackburn-with-darwen-borough-council:57601265,57601265
640,2026,2026-02-06,157500.0,,,S,"13, LEONARD CLOSE, HULL",HU12 8AH,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:east-riding-of-yorkshire-council:34558064,34558064
648,2023,2023-02-01,15000.0,,,F,"JUBILEE COURT, UNIT 62A, FYLDE ROAD, PRESTON",PR1 2XP,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:preston-city-council:19256857,19256857
