contract	supplier	contracted	built
Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	21030	2460
Bucks, Herts and East of Berks	CityFibre	19090	3100
CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	54340	8330
CO2 Devon, Mid Wales and South East Wales	Openreach	42270	4690
CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	52060	50
CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	700
CO5 Essex and North East England	Openreach	24710	300
CO6 Rest of Scotland	Openreach	65070	290
CO7 Worcestershire	Openreach	22600	10
Cambridgeshire	CityFibre	39070	7900
Central Cornwall	Wildanet	9720	6790
Cornwall and Isle of Scilly	Wildanet	14430	2240
Cumbria	Fibrus	53540	25980
Derbyshire	Connect Fibre	12500	330
Dorset and South Somerset	Wessex internet	7240	1670
Durham	GoFibre	4440	4440
East Gloucestershire	Gigaclear	3550	590
East and West Sussex	CityFibre	41940	1730
Hampshire	CityFibre	55570	4950
Kent	CityFibre	46080	1570
Leicestershire and Warwickshire	CityFibre	38230	6980
Lincolnshire and East Riding	Quickline Communications	47800	11940
New Forest	Wessex internet	15120	7960
Norfolk	CityFibre	48890	10000
North Dorset	Wessex internet	6480	6480
North East Staffordshire	Connect Fibre	5960	1080
North Oxfordshire	Gigaclear	4180	3040
North Shropshire	Freedom Fibre	3410	3410
Northern North Yorkshire	Quickline Communications	33810	5330
Northumberland	GoFibre	3830	3830
Nottinghamshire and West Lincolnshire	CityFibre	27820	0
South Oxfordshire	Gigaclear	5310	2070
South West Cornwall	Wildanet	11120	6350
South Wiltshire	Wessex internet	18790	3890
South Yorkshire	Quickline Communications	13290	6990
Suffolk	CityFibre	65710	13890
West and Parts of North Yorkshire	Quickline Communications	26310	12390
