contract	supplier	contracted	built
Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	21030	1580
Bucks, Herts and East of Berks	CityFibre	19090	2510
CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	54340	6530
CO2 Devon, Mid Wales and South East Wales	Openreach	42270	4560
CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	52060	50
CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	150
CO5 Essex and North East England	Openreach	24710	300
CO6 Rest of Scotland	Openreach	65070	290
CO7 Worcestershire	Openreach	22600	0
Cambridgeshire	CityFibre	39070	6830
Central Cornwall	Wildanet	9720	6720
Cornwall and Isle of Scilly	Wildanet	14540	2090
Cumbria	Fibrus	53540	24270
Derbyshire	Connect Fibre	12500	330
Dorset and South Somerset	Wessex Internet	7240	1470
Durham	GoFibre	4460	4440
East Gloucestershire	Gigaclear	3550	450
East and West Sussex	CityFibre	41940	1280
Hampshire	CityFibre	55570	4690
Kent	CityFibre	46080	1410
Leicestershire and Warwickshire	CityFibre	38230	5350
Lincolnshire and East Riding	Quickline Communications	47800	10610
New Forest	Wessex Internet	15120	7740
Norfolk	CityFibre	48890	9640
North Dorset	Wessex Internet	6710	6490
North East Staffordshire	Connect Fibre	5960	1080
North Oxfordshire	Gigaclear	4180	2910
North Shropshire	Freedom Fibre	3410	3410
Northern North Yorkshire	Quickline Communications	33810	4230
Northumberland	GoFibre	3830	3830
Nottinghamshire and West Lincolnshire	CityFibre	27820	0
South Oxfordshire	Gigaclear	5310	1610
South West Cornwall	Wildanet	11120	6300
South Wiltshire	Wessex Internet	18240	3610
South Yorkshire	Quickline Communications	13290	6660
Suffolk	CityFibre	65710	13210
West and Parts of North Yorkshire	Quickline Communications	26310	11150
