contract	supplier	contracted	built
Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	21030	1580
Bucks, Herts and East of Berks	CityFibre	19090	2140
CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	54340	3810
CO2 Devon, Mid Wales and South East Wales	Openreach	42270	2790
CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	52060	50
CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	50
CO5 Essex and North East England	Openreach	24710	90
CO6 Rest of Scotland	Openreach	65070	0
CO7 Worcestershire	Openreach	22600	0
Cambridgeshire	CityFibre	39070	6570
Central Cornwall	Wildanet	9720	6640
Cornwall and Isle of Scilly	Wildanet	14540	2010
Cumbria	Fibrus	53540	22090
Derbyshire	Connect Fibre	12500	330
Dorset and South Somerset	Wessex Internet	7240	1470
Durham	GoFibre	4460	4260
East Gloucestershire	Gigaclear	3550	110
East and West Sussex	CityFibre	41940	880
Hampshire	CityFibre	55570	4300
Kent	CityFibre	46080	950
Leicestershire and Warwickshire	CityFibre	38230	4720
Lincolnshire and East Riding	Quickline Communications	47800	9210
New Forest	Wessex Internet	15120	7740
Norfolk	CityFibre	48950	8650
North Dorset	Wessex Internet	6710	6490
North East Staffordshire	Connect Fibre	5960	1080
North Oxfordshire	Gigaclear	4180	2660
North Shropshire	Freedom Fibre	3410	3410
Northern North Yorkshire	Quickline Communications	33810	3640
Northumberland	GoFibre	3830	3830
Nottinghamshire and West Lincolnshire	CityFibre	27820	0
South Oxfordshire	Gigaclear	5310	1150
South West Cornwall	Wildanet	11120	6170
South Wiltshire	Wessex Internet	18240	3610
South Yorkshire	Quickline Communications	13290	6320
Suffolk	CityFibre	65710	11670
West and Parts of North Yorkshire	Quickline Communications	26310	10090
