line	uprn	postcode	recognised	current	future	gis	voucher	lad	region	lot
182	10010335803	DE4 4DD	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
183	10070089662	DE4 4DE	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
184	10010342146	DE4 4HJ	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
185	10070085106	DE4 4HL	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
186	10010339087	DE4 4HN	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
187	10070084385	DE4 4HW	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
188	10070095156	DE45 1SR	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
189	10070108876	DE45 1SR	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
190	10070084856	DE6 1QB	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
191	10070084868	DE6 1QB	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
192	10070084898	DE6 1QJ	true	true	false	false	true	Derbyshire Dales	East Midlands	Derbyshire
193	200000072261	E1 7EE	true	true	true	false	false	City of London	London	Greater London
194	95511762	E1 7HP	true	true	true	false	false	City of London	London	Greater London
195	200000070819	E1 7HY	true	true	true	false	false	City of London	London	Greater London
196	95513499	E1 7LP	true	true	true	false	false	City of London	London	Greater London
197	10092021528	E1 7LS	false	true	true	false	false	City of London	London	Greater London
206	100020000073	EC1A 7ES	true	true	false	false	false	City of London	London	Greater London
207	200000074964	EC1A 7ES	true	true	false	false	false	City of London	London	Greater London
208	100023529273	EC1A 7HH	true	true	false	false	false	City of London	London	Greater London
209	200000074990	EC1A 7HN	true	true	false	false	false	City of London	London	Greater London
210	200000074981	EC1A 7HN	true	true	false	false	false	City of London	London	Greater London
211	100022924700	EC1A 9DS	true	true	false	false	false	City of London	London	Greater London
212	200000070655	EC1A 9DS	true	true	false	false	false	City of London	London	Greater London
213	200000072379	EC1A 9PN	true	true	false	false	false	City of London	London	Greater London
214	95510715	EC1N 2JT	true	true	false	false	false	City of London	London	Greater London
215	200000071433	EC1Y 0RJ	true	true	false	false	false	City of London	London	Greater London
216	200000071877	EC1Y 0RL	true	true	false	false	false	City of London	London	Greater London
217	200000071388	EC1Y 0RN	true	true	false	false	false	City of London	London	Greater London
218	200000071675	EC1Y 0SH	true	true	false	false	false	City of London	London	Greater London
219	200000071597	EC1Y 0SN	true	true	false	false	false	City of London	London	Greater London
232	200000072702	EC2Y 8AY	true	true	false	false	false	City of London	London	Greater London
233	200000072814	EC2Y 8BA	true	true	false	false	false	City of London	London	Greater London
234	200000073597	EC2Y 8BD	true	true	false	false	false	City of London	London	Greater London
235	200000074567	EC2Y 8BL	true	true	false	false	false	City of London	London	Greater London
236	200000074560	EC2Y 8BL	true	true	false	false	false	City of London	London	Greater London
237	200000074639	EC2Y 8BN	true	true	false	false	false	City of London	London	Greater London
238	200000074633	EC2Y 8BN	true	true	false	false	false	City of London	London	Greater London
239	200000073969	EC2Y 8BP	true	true	false	false	false	City of London	London	Greater London
240	200000073973	EC2Y 8BP	true	true	false	false	false	City of London	London	Greater London
241	200000073186	EC2Y 8DE	true	true	false	false	false	City of London	London	Greater London
242	200000073705	EC2Y 8DJ	true	true	false	false	false	City of London	London	Greater London
243	200000073475	EC2Y 8DN	true	true	false	false	false	City of London	London	Greater London
244	200000073129	EC2Y 8DQ	true	true	false	false	false	City of London	London	Greater London
245	200000073933	EC2Y 8NA	true	true	false	false	false	City of London	London	Greater London
246	200000072994	EC2Y 8NH	true	true	false	false	false	City of London	London	Greater London
247	200000072993	EC2Y 8NH	true	true	false	false	false	City of London	London	Greater London
248	200000072974	EC2Y 8NH	true	true	false	false	false	City of London	London	Greater London
249	200000074183	EC2Y 8NJ	true	true	false	false	false	City of London	London	Greater London
250	95512166	EC2Y 9AP	true	true	true	false	false	City of London	London	Greater London
251	95516020	EC3A 7AB	true	true	false	false	false	City of London	London	Greater London
252	100022934736	EC3A 7BE	false	true	false	false	false	City of London	London	Greater London
253	95514838	EC3A 8BG	true	true	false	false	false	City of London	London	Greater London
254	100022934884	EC3M 6BL	true	true	false	false	false	City of London	London	Greater London
255	95515604	EC3N 1JJ	false	true	true	false	false	City of London	London	Greater London
256	95515588	EC3N 1JJ	false	true	true	false	false	City of London	London	Greater London
257	95515629	EC3N 1JJ	false	true	true	false	false	City of London	London	Greater London
258	95500623	EC3N 2NU	true	true	false	false	false	City of London	London	Greater London
259	95500608	EC3N 2NU	true	true	false	false	false	City of London	London	Greater London
266	200000075135	EC4A 1BY	true	true	false	false	false	City of London	London	Greater London
267	95506473	EC4A 1EP	true	true	false	false	false	City of London	London	Greater London
