month	row	contract	supplier	contracted_premises	built_contracted_premises
April	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	21030	4570
April	2	Bucks, Herts and East of Berks	CityFibre	19090	3640
April	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	51820	14460
April	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	9210
April	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	1060
April	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	2840
April	7	CO5 Essex and North East England	Openreach	24710	580
April	8	CO6 Rest of Scotland	Openreach	77640	3680
April	9	CO7 Worcestershire	Openreach	22600	120
April	10	CO8 Cheshire	Openreach	18460	0
April	11	Cambridgeshire	CityFibre	39070	9780
April	12	Central Cornwall	Wildanet	6940	6940
April	13	Cornwall and Isle of Scilly	Wildanet	14430	3460
April	14	Cumbria	Fibrus	53540	32400
April	15	Derbyshire	Connect Fibre	12050	1200
April	16	Dorset and South Somerset	Wessex Internet	19560	3420
April	17	Durham	GoFibre	4440	4440
April	18	East Gloucestershire	Gigaclear	3550	1430
April	19	East and West Sussex	CityFibre	41940	2970
April	20	Hampshire	CityFibre	55570	6000
April	21	Kent	CityFibre	46080	2320
April	22	Leicestershire and Warwickshire	CityFibre	38230	9980
April	23	Lincolnshire and East Riding	Quickline Communications	47800	17660
April	24	New Forest	Wessex Internet	12730	10010
April	25	Norfolk	CityFibre	48890	12380
April	26	North Dorset	Wessex Internet	6480	6480
April	27	North East Staffordshire	Connect Fibre	5960	1990
April	28	North Oxfordshire	Gigaclear	4180	3530
April	29	North Shropshire	Freedom Fibre	3410	3410
April	30	Northern North Yorkshire	Quickline Communications	33810	9350
April	31	Northumberland	GoFibre	3830	3830
April	32	Nottinghamshire and West Lincolnshire	CityFibre	27820	0
April	33	South Oxfordshire	Gigaclear	5030	3010
April	34	South West Cornwall	Wildanet	6400	6400
April	35	South Wiltshire	Wessex Internet	18790	6060
April	36	South Yorkshire	Quickline Communications	13290	8840
April	37	Suffolk	CityFibre	65710	16870
April	38	West and Parts of North Yorkshire	Quickline Communications	28950	15700
