month	row	contract	supplier	contracted_premises	built_contracted_premises
July	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	5890	4820
July	2	Bucks, Herts and East of Berks	CityFibre	6090	4050
July	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	60180	17170
July	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	10600
July	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	2570
July	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	3840
July	7	CO5 Essex and North East England	Openreach	35300	2260
July	8	CO6 Rest of Scotland	Openreach	77640	5680
July	9	CO7 Worcestershire	Openreach	22980	1010
July	10	CO8 Cheshire	Openreach	18460	0
July	11	Cambridgeshire	CityFibre	18230	12030
July	12	Central Cornwall	Wildanet	6940	6940
July	13	Cornwall and Isle of Scilly	Wildanet	14430	4190
July	14	Cumbria	Fibrus	53540	35040
July	15	Derbyshire	Connect Fibre	12880	1550
July	16	Dorset and South Somerset	Wessex Internet	19560	5030
July	17	Durham	GoFibre	4440	4440
July	18	East Gloucestershire	Gigaclear	3550	1980
July	19	East and West Sussex	CityFibre	12760	3020
July	20	Hampshire	CityFibre	29420	7150
July	21	Kent	CityFibre	8750	2530
July	22	Leicestershire and Warwickshire	CityFibre	22480	10740
July	23	Lincolnshire and East Riding	Quickline Communications	46970	21840
July	24	New Forest	Wessex Internet	12730	10400
July	25	Norfolk	CityFibre	32670	13310
July	26	North Dorset	Wessex Internet	6480	6170
July	27	North East Staffordshire	Connect Fibre	5960	2860
July	28	North Oxfordshire	Gigaclear	4180	3860
July	29	North Shropshire	Freedom Fibre	3410	3410
July	30	Northern North Yorkshire	Quickline Communications	34490	11880
July	31	Northumberland	GoFibre	3830	3830
July	32	South Oxfordshire	Gigaclear	5120	3200
July	33	South West Cornwall	Wildanet	6400	6400
July	34	South Wiltshire	Wessex Internet	18790	7650
July	35	South Yorkshire	Quickline Communications	13290	9320
July	36	Suffolk	CityFibre	38350	18560
July	37	West and Parts of North Yorkshire	Quickline Communications	28950	18200
