month	row	contract	supplier	contracted_premises	built_contracted_premises
June	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	5890	4660
June	2	Bucks, Herts and East of Berks	CityFibre	6090	3810
June	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	60180	17170
June	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	9810
June	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	1240
June	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	3150
June	7	CO5 Essex and North East England	Openreach	35300	880
June	8	CO6 Rest of Scotland	Openreach	77640	5680
June	9	CO7 Worcestershire	Openreach	22600	170
June	10	CO8 Cheshire	Openreach	18460	0
June	11	Cambridgeshire	CityFibre	18230	10840
June	12	Central Cornwall	Wildanet	6940	6940
June	13	Cornwall and Isle of Scilly	Wildanet	14430	3660
June	14	Cumbria	Fibrus	53540	34830
June	15	Derbyshire	Connect Fibre	13290	1200
June	16	Dorset and South Somerset	Wessex Internet	19560	4520
June	17	Durham	GoFibre	4440	4440
June	18	East Gloucestershire	Gigaclear	3550	1800
June	19	East and West Sussex	CityFibre	12760	2970
June	20	Hampshire	CityFibre	29420	6970
June	21	Kent	CityFibre	8750	2530
June	22	Leicestershire and Warwickshire	CityFibre	22480	10310
June	23	Lincolnshire and East Riding	Quickline Communications	47800	20610
June	24	New Forest	Wessex Internet	12730	10390
June	25	Norfolk	CityFibre	32670	12770
June	26	North Dorset	Wessex Internet	6480	6170
June	27	North East Staffordshire	Connect Fibre	5960	2410
June	28	North Oxfordshire	Gigaclear	4180	3750
June	29	North Shropshire	Freedom Fibre	3410	1900
June	30	Northern North Yorkshire	Quickline Communications	34490	10980
June	31	Northumberland	GoFibre	3830	3830
June	32	South Oxfordshire	Gigaclear	5120	3200
June	33	South West Cornwall	Wildanet	6400	6400
June	34	South Wiltshire	Wessex Internet	18790	7230
June	35	South Yorkshire	Quickline Communications	13290	9270
June	36	Suffolk	CityFibre	38350	17960
June	37	West and Parts of North Yorkshire	Quickline Communications	28950	17050
