month	row	contract	supplier	contracted_premises	built_contracted_premises
May	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	5890	4150
May	2	Bucks, Herts and East of Berks	CityFibre	6090	3640
May	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	60180	14460
May	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	9210
May	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	1240
May	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	3150
May	7	CO5 Essex and North East England	Openreach	35300	880
May	8	CO6 Rest of Scotland	Openreach	77640	3680
May	9	CO7 Worcestershire	Openreach	22600	120
May	10	CO8 Cheshire	Openreach	18460	0
May	11	Cambridgeshire	CityFibre	18230	10850
May	12	Central Cornwall	Wildanet	6940	6940
May	13	Cornwall and Isle of Scilly	Wildanet	14430	3540
May	14	Cumbria	Fibrus	53540	33330
May	15	Derbyshire	Connect Fibre	12050	1200
May	16	Dorset and South Somerset	Wessex Internet	19560	3840
May	17	Durham	GoFibre	4440	4440
May	18	East Gloucestershire	Gigaclear	3550	1800
May	19	East and West Sussex	CityFibre	12760	2970
May	20	Hampshire	CityFibre	29420	6770
May	21	Kent	CityFibre	8750	2320
May	22	Leicestershire and Warwickshire	CityFibre	22480	10100
May	23	Lincolnshire and East Riding	Quickline Communications	47800	19050
May	24	New Forest	Wessex Internet	12730	10250
May	25	Norfolk	CityFibre	32670	12510
May	26	North Dorset	Wessex Internet	6480	6480
May	27	North East Staffordshire	Connect Fibre	5960	2080
May	28	North Oxfordshire	Gigaclear	4180	3690
May	29	North Shropshire	Freedom Fibre	3410	1270
May	30	Northern North Yorkshire	Quickline Communications	33810	10240
May	31	Northumberland	GoFibre	3830	3830
May	32	South Oxfordshire	Gigaclear	5030	3140
May	33	South West Cornwall	Wildanet	6400	6400
May	34	South Wiltshire	Wessex Internet	18790	6390
May	35	South Yorkshire	Quickline Communications	13290	9080
May	36	Suffolk	CityFibre	38350	17360
May	37	West and Parts of North Yorkshire	Quickline Communications	28950	16310
