month	snapshot_date	row_index	contract	supplier	contracted_premises	built_contracted_premises
2026-07	2026-07-16	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	5890	4820
2026-07	2026-07-16	2	Bucks, Herts and East of Berks	CityFibre	6090	4050
2026-07	2026-07-16	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	60180	17170
2026-07	2026-07-16	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	10600
2026-07	2026-07-16	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	2570
2026-07	2026-07-16	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	3840
2026-07	2026-07-16	7	CO5 Essex and North East England	Openreach	35300	2260
2026-07	2026-07-16	8	CO6 Rest of Scotland	Openreach	77640	5680
2026-07	2026-07-16	9	CO7 Worcestershire	Openreach	22980	1010
2026-07	2026-07-16	10	CO8 Cheshire	Openreach	18460	0
2026-07	2026-07-16	11	Cambridgeshire	CityFibre	18230	12030
2026-07	2026-07-16	12	Central Cornwall	Wildanet	6940	6940
2026-07	2026-07-16	13	Cornwall and Isle of Scilly	Wildanet	14430	4190
2026-07	2026-07-16	14	Cumbria	Fibrus	53540	35040
2026-07	2026-07-16	15	Derbyshire	Connect Fibre	12880	1550
2026-07	2026-07-16	16	Dorset and South Somerset	Wessex Internet	19560	5030
2026-07	2026-07-16	17	Durham	GoFibre	4440	4440
2026-07	2026-07-16	18	East Gloucestershire	Gigaclear	3550	1980
2026-07	2026-07-16	19	East and West Sussex	CityFibre	12760	3020
2026-07	2026-07-16	20	Hampshire	CityFibre	29420	7150
2026-07	2026-07-16	21	Kent	CityFibre	8750	2530
2026-07	2026-07-16	22	Leicestershire and Warwickshire	CityFibre	22480	10740
2026-07	2026-07-16	23	Lincolnshire and East Riding	Quickline Communications	46970	21840
2026-07	2026-07-16	24	New Forest	Wessex Internet	12730	10400
2026-07	2026-07-16	25	Norfolk	CityFibre	32670	13310
2026-07	2026-07-16	26	North Dorset	Wessex Internet	6480	6170
2026-07	2026-07-16	27	North East Staffordshire	Connect Fibre	5960	2860
2026-07	2026-07-16	28	North Oxfordshire	Gigaclear	4180	3860
2026-07	2026-07-16	29	North Shropshire	Freedom Fibre	3410	3410
2026-07	2026-07-16	30	Northern North Yorkshire	Quickline Communications	34490	11880
2026-07	2026-07-16	31	Northumberland	GoFibre	3830	3830
2026-07	2026-07-16	32	South Oxfordshire	Gigaclear	5120	3200
2026-07	2026-07-16	33	South West Cornwall	Wildanet	6400	6400
2026-07	2026-07-16	34	South Wiltshire	Wessex Internet	18790	7650
2026-07	2026-07-16	35	South Yorkshire	Quickline Communications	13290	9320
2026-07	2026-07-16	36	Suffolk	CityFibre	38350	18560
2026-07	2026-07-16	37	West and Parts of North Yorkshire	Quickline Communications	28950	18200
