month	snapshot_date	row_index	contract	supplier	contracted_premises	built_contracted_premises
2026-06	2026-06-17	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	5890	4660
2026-06	2026-06-17	2	Bucks, Herts and East of Berks	CityFibre	6090	3810
2026-06	2026-06-17	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	60180	17170
2026-06	2026-06-17	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	9810
2026-06	2026-06-17	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	1240
2026-06	2026-06-17	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	3150
2026-06	2026-06-17	7	CO5 Essex and North East England	Openreach	35300	880
2026-06	2026-06-17	8	CO6 Rest of Scotland	Openreach	77640	5680
2026-06	2026-06-17	9	CO7 Worcestershire	Openreach	22600	170
2026-06	2026-06-17	10	CO8 Cheshire	Openreach	18460	0
2026-06	2026-06-17	11	Cambridgeshire	CityFibre	18230	10840
2026-06	2026-06-17	12	Central Cornwall	Wildanet	6940	6940
2026-06	2026-06-17	13	Cornwall and Isle of Scilly	Wildanet	14430	3660
2026-06	2026-06-17	14	Cumbria	Fibrus	53540	34830
2026-06	2026-06-17	15	Derbyshire	Connect Fibre	13290	1200
2026-06	2026-06-17	16	Dorset and South Somerset	Wessex Internet	19560	4520
2026-06	2026-06-17	17	Durham	GoFibre	4440	4440
2026-06	2026-06-17	18	East Gloucestershire	Gigaclear	3550	1800
2026-06	2026-06-17	19	East and West Sussex	CityFibre	12760	2970
2026-06	2026-06-17	20	Hampshire	CityFibre	29420	6970
2026-06	2026-06-17	21	Kent	CityFibre	8750	2530
2026-06	2026-06-17	22	Leicestershire and Warwickshire	CityFibre	22480	10310
2026-06	2026-06-17	23	Lincolnshire and East Riding	Quickline Communications	47800	20610
2026-06	2026-06-17	24	New Forest	Wessex Internet	12730	10390
2026-06	2026-06-17	25	Norfolk	CityFibre	32670	12770
2026-06	2026-06-17	26	North Dorset	Wessex Internet	6480	6170
2026-06	2026-06-17	27	North East Staffordshire	Connect Fibre	5960	2410
2026-06	2026-06-17	28	North Oxfordshire	Gigaclear	4180	3750
2026-06	2026-06-17	29	North Shropshire	Freedom Fibre	3410	1900
2026-06	2026-06-17	30	Northern North Yorkshire	Quickline Communications	34490	10980
2026-06	2026-06-17	31	Northumberland	GoFibre	3830	3830
2026-06	2026-06-17	32	South Oxfordshire	Gigaclear	5120	3200
2026-06	2026-06-17	33	South West Cornwall	Wildanet	6400	6400
2026-06	2026-06-17	34	South Wiltshire	Wessex Internet	18790	7230
2026-06	2026-06-17	35	South Yorkshire	Quickline Communications	13290	9270
2026-06	2026-06-17	36	Suffolk	CityFibre	38350	17960
2026-06	2026-06-17	37	West and Parts of North Yorkshire	Quickline Communications	28950	17050
