month	snapshot_date	row_index	contract	supplier	contracted_premises	built_contracted_premises
2026-05	2026-05-21	1	Bedfordshire, Northamptonshire and Milton Keynes	CityFibre	5890	4150
2026-05	2026-05-21	2	Bucks, Herts and East of Berks	CityFibre	6090	3640
2026-05	2026-05-21	3	CO1 Lancashire, West Berkshire, Staffordshire, Surrey, Hertfordshire, Wiltshire and Gloucestershire	Openreach	60180	14460
2026-05	2026-05-21	4	CO2 Devon, Mid Wales and South East Wales	Openreach	41140	9210
2026-05	2026-05-21	5	CO3 North Herefordshire, North Wales, Shropshire and South West Wales	Openreach	65120	1240
2026-05	2026-05-21	6	CO4 South Devon, Mid Devon and North Somerset	Openreach	37110	3150
2026-05	2026-05-21	7	CO5 Essex and North East England	Openreach	35300	880
2026-05	2026-05-21	8	CO6 Rest of Scotland	Openreach	77640	3680
2026-05	2026-05-21	9	CO7 Worcestershire	Openreach	22600	120
2026-05	2026-05-21	10	CO8 Cheshire	Openreach	18460	0
2026-05	2026-05-21	11	Cambridgeshire	CityFibre	18230	10850
2026-05	2026-05-21	12	Central Cornwall	Wildanet	6940	6940
2026-05	2026-05-21	13	Cornwall and Isle of Scilly	Wildanet	14430	3540
2026-05	2026-05-21	14	Cumbria	Fibrus	53540	33330
2026-05	2026-05-21	15	Derbyshire	Connect Fibre	12050	1200
2026-05	2026-05-21	16	Dorset and South Somerset	Wessex Internet	19560	3840
2026-05	2026-05-21	17	Durham	GoFibre	4440	4440
2026-05	2026-05-21	18	East Gloucestershire	Gigaclear	3550	1800
2026-05	2026-05-21	19	East and West Sussex	CityFibre	12760	2970
2026-05	2026-05-21	20	Hampshire	CityFibre	29420	6770
2026-05	2026-05-21	21	Kent	CityFibre	8750	2320
2026-05	2026-05-21	22	Leicestershire and Warwickshire	CityFibre	22480	10100
2026-05	2026-05-21	23	Lincolnshire and East Riding	Quickline Communications	47800	19050
2026-05	2026-05-21	24	New Forest	Wessex Internet	12730	10250
2026-05	2026-05-21	25	Norfolk	CityFibre	32670	12510
2026-05	2026-05-21	26	North Dorset	Wessex Internet	6480	6480
2026-05	2026-05-21	27	North East Staffordshire	Connect Fibre	5960	2080
2026-05	2026-05-21	28	North Oxfordshire	Gigaclear	4180	3690
2026-05	2026-05-21	29	North Shropshire	Freedom Fibre	3410	1270
2026-05	2026-05-21	30	Northern North Yorkshire	Quickline Communications	33810	10240
2026-05	2026-05-21	31	Northumberland	GoFibre	3830	3830
2026-05	2026-05-21	32	South Oxfordshire	Gigaclear	5030	3140
2026-05	2026-05-21	33	South West Cornwall	Wildanet	6400	6400
2026-05	2026-05-21	34	South Wiltshire	Wessex Internet	18790	6390
2026-05	2026-05-21	35	South Yorkshire	Quickline Communications	13290	9080
2026-05	2026-05-21	36	Suffolk	CityFibre	38350	17360
2026-05	2026-05-21	37	West and Parts of North Yorkshire	Quickline Communications	28950	16310
