row_id	category	metric	geography	value	unit	percent	reference
1	headline	premises_delivered_2025_26	UK	192570	premises		FY2025/26
2	headline	annual_increase_vs_2024_25	UK	42280	premises		FY2025/26
3	headline	annual_increase_vs_2024_25_percent	UK	28	percent	28	FY2025/26
4	headline	cumulative_premises_delivered	UK	1418410	premises		to_2026-03-31
5	intervention	GIS	UK	139490	premises	72	FY2025/26
6	intervention	Vouchers	UK	30530	premises	16	FY2025/26
7	intervention	Superfast_plus_Hubs	UK	22550	premises	12	FY2025/26
8	classification	rural	UK	173190	premises	90	FY2025/26
9	premises_type	residential	UK	173270	premises	90	FY2025/26
10	premises_type	commercial	UK	17790	premises	9	FY2025/26
11	availability	without_superfast_30Mbps	UK	43880	premises	23	FY2025/26
12	country	premises_delivered	England	145110	premises	75	FY2025/26
13	country	premises_delivered	Scotland	30530	premises	16	FY2025/26
14	country	premises_delivered	Wales	15430	premises	8	FY2025/26
15	country	premises_delivered	Northern Ireland	1470	premises	1	FY2025/26
16	LAD_top10	premises_delivered	Cumberland	9540	premises		FY2025/26
17	LAD_top10	premises_delivered	North Yorkshire	9170	premises		FY2025/26
18	LAD_top10	premises_delivered	Westmorland and Furness	8560	premises		FY2025/26
19	LAD_top10	premises_delivered	East Riding of Yorkshire	7420	premises		FY2025/26
20	LAD_top10	premises_delivered	Highland	6760	premises		FY2025/26
21	LAD_top10	premises_delivered	Cornwall	6220	premises		FY2025/26
22	LAD_top10	premises_delivered	Wiltshire	5830	premises		FY2025/26
23	LAD_top10	premises_delivered	Dorset	4220	premises		FY2025/26
24	LAD_top10	premises_delivered	East Lindsey	4090	premises		FY2025/26
25	LAD_top10	premises_delivered	West Suffolk	3940	premises		FY2025/26
26	prior_year_country	premises_delivered_2024_25	England	99510	premises		FY2024/25
27	prior_year_country	premises_delivered_2024_25	Wales	10790	premises		FY2024/25
28	source_version	BDUK_management_information	UK	2026-05-15	date		annual_release_source
29	source_version	NSUL	UK	2025-12	version		annual_release_source
30	source_version	NSPL	UK	2026-02	version		annual_release_source
31	source_version	Ofcom_Connected_Nations	UK	2026-05	version		Spring_Update_2026
32	source_version	OS_AddressBase_Premium	UK	Epoch_124	version		annual_release_source
33	source_version	Scottish_Postcode_Directory	Scotland	2026-03	version		annual_release_source
34	source_version	NISRA_settlement_lookup	Northern Ireland	2015	version		annual_release_source
