"score","relative_path","extension","size_bytes","hits","last_write_time_utc"
"17","app\etl\match\parcel_matcher.py",".py","51553","ParcelInspire|parcels_inspire|source_url|source_name|source_record_id|inspire_id|parcel_ref|source_updated_at","2026-05-15T19:48:20.6637040Z"
"11","app\services\source_service.py",".py","3692","source_url|source_name|hmlr_inspire|inspire_id|parcel_ref|source_updated_at","2026-05-15T19:48:20.6717071Z"
"11","tests\test_parcel_matcher_source_confidence.py",".py","1403","source_url|parcel_ref","2026-05-15T19:48:20.7105742Z"
"7","app\quality\source_confidence_integration.py",".py","4949","source_url|parcel_ref","2026-05-15T19:48:20.6667035Z"
"7","tests\test_source_confidence_integration.py",".py","4551","source_url|parcel_ref","2026-05-15T19:48:20.7146241Z"
"7","tests\test_source_manifest_status.py",".py","7740","source_url|source_name","2026-05-15T19:48:20.7166252Z"
"6","app\quality\source_confidence_rules.py",".py","2835","source_url","2026-05-15T19:48:20.6677130Z"
"6","scripts\contractor_match_to_parcels.py",".py","15974","source_url|source_name","2026-05-15T19:48:20.7059908Z"
"6","tests\test_source_confidence_rules.py",".py","1608","source_url","2026-05-15T19:48:20.7156242Z"
"3","scripts\contractor_load_to_postgres.py",".py","10425","source_url|source_name|source_record_id","2026-05-15T19:48:20.7029819Z"
"2","app\services\scoring.py",".py","2092","source_name|hmlr_inspire","2026-05-15T19:48:20.6707017Z"
"2","FG_STAGE2_CONNECTOR_SPEC.md",".md","29122","source_url|source_name","2026-05-15T19:48:20.6490821Z"
"2","tests\test_sale_land_verification_route.py",".py","914","source_url|parcel_ref","2026-05-15T19:48:20.7126265Z"
"1","FG_STAGE0_SCOPE.md",".md","3520","source_url","2026-05-15T19:48:20.6470809Z"
"1","FG_STAGE3_SPATIAL_EVIDENCE_RULES.yaml",".yaml","5571","source_url","2026-05-15T19:48:20.6500719Z"
"1","FG_STAGE4_SCORING_CONFIDENCE.yaml",".yaml","5474","source_url","2026-05-15T19:48:20.6510761Z"
"1","FG_STAGE5_API_CONTRACT.yaml",".yaml","6287","source_url","2026-05-15T19:48:20.6520790Z"
"1","FG_STAGE6_FRONTEND_LAYER_SPEC.md",".md","5288","source_url","2026-05-15T19:48:20.6530770Z"
"1","scripts\contractor_export_for_app.py",".py","4874","source_url","2026-05-15T19:48:20.7019740Z"
