"full_name","extension","size_bytes","hits","last_write_time_utc"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\app\etl\match\parcel_matcher.py",".py","51553","source_url|source_name|source_record_id|parcel_ref|inspire_id","2026-05-15T19:48:20.6637040Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\app\quality\source_confidence_integration.py",".py","4949","source_url|parcel_ref","2026-05-15T19:48:20.6667035Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\app\quality\source_confidence_rules.py",".py","2835","source_url","2026-05-15T19:48:20.6677130Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\app\services\scoring.py",".py","2092","source_name","2026-05-15T19:48:20.6707017Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\app\services\source_service.py",".py","3692","source_url|source_name|parcel_ref|inspire_id","2026-05-15T19:48:20.6717071Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\aays_chatgpt_ultra_scope_low_codex_20260515\inputs\FINAL_DB_READINESS_AND_CANONICAL_REGISTRY_REPORT_20260515.md",".md","4629","public.parcels","2026-05-14T23:40:06.3756006Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\aays_chatgpt_ultra_scope_low_codex_20260515\inputs\FINAL_RUNTIME_STORAGE_REGISTRY_20260515.json",".json","10415","public.parcels","2026-05-14T23:40:05.6628337Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\aays_chatgpt_ultra_scope_low_codex_20260515\inputs\merged_manifest.json",".json","236056","public.parcels","2026-05-13T15:48:37.0883032Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\aays_chatgpt_ultra_scope_low_codex_20260515\inputs\page-11.json",".json","4994","public.parcels","2026-05-13T15:45:09.7199369Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\db_readiness_probe_20260515\FINAL_DB_READINESS_AND_CANONICAL_REGISTRY_REPORT_20260515.md",".md","4629","public.parcels","2026-05-15T19:48:20.6767058Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\db_readiness_probe_20260515\FINAL_RUNTIME_STORAGE_REGISTRY_20260515.json",".json","10415","public.parcels","2026-05-15T19:48:20.6787019Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\FG_STAGE0_SCOPE.md",".md","3520","source_url","2026-05-15T19:48:20.6470809Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\FG_STAGE2_CONNECTOR_SPEC.md",".md","29122","source_url|source_name","2026-05-15T19:48:20.6490821Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\FG_STAGE3_SPATIAL_EVIDENCE_RULES.yaml",".yaml","5571","source_url","2026-05-15T19:48:20.6500719Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\FG_STAGE4_SCORING_CONFIDENCE.yaml",".yaml","5474","source_url","2026-05-15T19:48:20.6510761Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\FG_STAGE5_API_CONTRACT.yaml",".yaml","6287","source_url","2026-05-15T19:48:20.6520790Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\FG_STAGE6_FRONTEND_LAYER_SPEC.md",".md","5288","source_url","2026-05-15T19:48:20.6530770Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\scripts\contractor_export_for_app.py",".py","4874","source_url","2026-05-15T19:48:20.7019740Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\scripts\contractor_load_to_postgres.py",".py","10425","source_url|source_name|source_record_id","2026-05-15T19:48:20.7029819Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\scripts\contractor_match_to_parcels.py",".py","15974","source_url|source_name","2026-05-15T19:48:20.7059908Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\tests\test_parcel_matcher_source_confidence.py",".py","1403","source_url|parcel_ref","2026-05-15T19:48:20.7105742Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\tests\test_sale_land_verification_route.py",".py","914","source_url|parcel_ref","2026-05-15T19:48:20.7126265Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\tests\test_source_confidence_integration.py",".py","4551","source_url|parcel_ref","2026-05-15T19:48:20.7146241Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\tests\test_source_confidence_rules.py",".py","1608","source_url","2026-05-15T19:48:20.7156242Z"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\tests\test_source_manifest_status.py",".py","7740","source_url|source_name","2026-05-15T19:48:20.7166252Z"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\openapi.json",".json","74393","source_url|source_name|parcel_ref|inspire_id","2026-05-02T14:21:56.7097859Z"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\044_continuous_accuracy_expansion_watchdog_20260512_070432\worker.ps1",".ps1","11092","source_url|source_name","2026-05-12T04:04:32.9354125Z"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\044_continuous_accuracy_expansion_watchdog_20260512_082408\worker.ps1",".ps1","11092","source_url|source_name","2026-05-12T05:24:08.9632296Z"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\044_continuous_accuracy_expansion_watchdog_20260512_111312\worker.ps1",".ps1","11092","source_url|source_name","2026-05-12T08:13:12.7984261Z"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\044_continuous_accuracy_expansion_watchdog_20260514_011656\worker.ps1",".ps1","11092","source_url|source_name","2026-05-13T22:16:56.6972608Z"
