"score","full_name","extension","size_bytes","hits","last_write_time_utc"
"24","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\sources\hmlr_inspire.py",".py","12899","source_url|source_name|source_record_id|source_month|source_updated_at|inspire_id|parcel_ref|hmlr_inspire","2026-04-10T11:23:50.4492129Z"
"19","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\run_hmlr_inspire_low_disk.py",".py","15221","source_url|source_name|source_month|source_updated_at|inspire_id|hmlr_inspire|parcels_inspire","2026-05-01T21:46:08.2288992Z"
"16","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\app\etl\match\parcel_matcher.py",".py","51553","source_url|source_name|source_record_id|source_updated_at|inspire_id|parcel_ref|parcels_inspire","2026-05-15T19:48:20.6637040Z"
"16","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\match\parcel_matcher.py",".py","50899","source_url|source_name|source_record_id|source_updated_at|inspire_id|parcel_ref|parcels_inspire","2026-05-14T21:40:02.1847383Z"
"16","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\sample_data\hmlr_inspire_parcels.json",".json","1931","source_url|source_record_id|source_month|source_updated_at|inspire_id","2026-03-29T23:56:50.7289535Z"
"14","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\match_external_market_polygons_to_parcels.py",".py","16598","source_url|source_name|inspire_id|parcel_ref|parcels_inspire","2026-04-30T12:24:59.1015782Z"
"14","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\sources\market\vendor_feed.py",".py","8450","source_url|source_name|source_record_id|source_updated_at|inspire_id|parcel_ref","2026-04-24T09:01:32.6311589Z"
"13","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\authority_checkpoint.py",".py","10008","source_url|source_name|source_record_id|source_month|source_updated_at|inspire_id|parcel_ref|hmlr_inspire|parcels_inspire","2026-04-04T23:58:15.1309310Z"
"13","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\export_market_listing_parcel_package.py",".py","17876","source_url|source_name|source_record_id|inspire_id|parcel_ref|parcels_inspire","2026-04-22T22:24:26.7313922Z"
"13","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\prefetch_hmlr_inspire_zips.py",".py","2361","hmlr_inspire","2026-04-01T09:27:54.8113548Z"
"13","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tests\test_hmlr_inspire_chunking.py",".py","5402","source_url|source_month|source_updated_at|inspire_id|hmlr_inspire","2026-04-10T11:24:52.4120526Z"
"12","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\orchestrator.py",".py","22978","source_url|source_name|source_record_id|source_month|source_updated_at|inspire_id|parcel_ref|hmlr_inspire","2026-05-01T21:45:32.8592435Z"
"12","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\sources\facilities\base.py",".py","19554","source_url|source_name|source_record_id|source_updated_at","2026-04-16T15:32:57.8844067Z"
"12","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\sources\government_property_finder.py",".py","5851","source_url|source_name|source_record_id|source_updated_at","2026-04-11T23:07:00.8458287Z"
