"root","full_name","extension","size_bytes","last_write_time_utc"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-handoff\aays1-contractor-final-status.json",".json","7880","2026-05-11T20:10:47.8155300Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-handoff\aays1-latest-status.json",".json","491","2026-05-12T23:13:10.5142585Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-handoff\latest-status.json",".json","342","2026-05-11T13:43:10.0400907Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\cost50-013-artifact-manifest-audit-20260512.manifest.json",".json","3206","2026-05-12T10:51:42.6825211Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\cost50-015-handoff-closure-audit-20260512.result.json",".json","1365","2026-05-12T12:07:21.3250812Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\cost50-017-dependency-smoke-audit-20260512.result.json",".json","730","2026-05-12T12:07:21.3327189Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\cost50-035-final-lock-handoff-complete-20260513.result.json",".json","432","2026-05-12T22:17:54.4119162Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\cost50-036-final-accuracy-validation-20260513.result.json",".json","1132","2026-05-12T22:23:42.9371318Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j211.result.json",".json","436","2026-05-11T10:02:45.4579420Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j212.result.json",".json","436","2026-05-11T10:02:45.4661031Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j213.result.json",".json","394","2026-05-11T10:02:45.4661031Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j214.result.json",".json","395","2026-05-11T10:02:45.4661031Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j215.result.json",".json","394","2026-05-11T10:02:45.4661031Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j216.result.json",".json","395","2026-05-11T10:02:45.4661031Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j217.result.json",".json","394","2026-05-11T10:02:45.4661031Z"
"C:\AAYS_GITHUB_BRIDGE_CLEAN","C:\AAYS_GITHUB_BRIDGE_CLEAN\ai-results\j218.result.json",".json","395","2026-05-11T10:02:45.4661031Z"
