schema_name,table_name,geometry_column,coord_dimension,srid,geometry_type
public,buildings_facilities_features,point_geometry,2,27700,POINT
public,buildings_facilities_features,site_geometry,2,27700,GEOMETRY
public,city_growth_vectors,base_centroid,2,4326,POINT
public,city_growth_vectors,vector_geometry,2,4326,LINESTRING
public,city_growth_vectors,weighted_future_centroid,2,4326,POINT
public,facility_resolved_features,point_geometry,2,27700,POINT
public,facility_resolved_features,site_geometry,2,27700,GEOMETRY
public,future_growth_features,centroid,2,27700,POINT
public,future_growth_features,geometry,2,27700,GEOMETRY
public,listings_government_property_finder,point_geometry,2,27700,POINT
public,listings_government_property_finder,site_geometry,2,27700,MULTIPOLYGON
public,listings_landhub,geometry,2,27700,MULTIPOLYGON
public,listings_market_adapter,point_geometry,2,27700,POINT
public,listings_market_adapter,site_geometry,2,27700,MULTIPOLYGON
public,parcels,centroid,2,27700,POINT
public,parcels,geom,2,27700,MULTIPOLYGON
public,parcels,geometry,2,27700,MULTIPOLYGON
public,parcels_inspire,centroid,2,27700,POINT
public,parcels_inspire,geometry,2,27700,MULTIPOLYGON
public,planned_assets,geometry,2,27700,GEOMETRY
public,sites_brownfield_local_authority,point_geometry,2,27700,POINT
public,sites_brownfield_local_authority,site_geometry,2,27700,MULTIPOLYGON
public,sites_brownfield_planning_data,point_geometry,2,27700,POINT
public,sites_brownfield_planning_data,site_geometry,2,27700,MULTIPOLYGON
tiger,addrfeat,the_geom,2,4269,LINESTRING
tiger,bg,the_geom,2,4269,MULTIPOLYGON
tiger,county,the_geom,2,4269,MULTIPOLYGON
tiger,cousub,the_geom,2,4269,MULTIPOLYGON
tiger,edges,the_geom,2,4269,MULTILINESTRING
tiger,faces,the_geom,2,4269,MULTIPOLYGON
tiger,place,the_geom,2,4269,MULTIPOLYGON
tiger,state,the_geom,2,4269,MULTIPOLYGON
tiger,tabblock,the_geom,2,4269,MULTIPOLYGON
tiger,tabblock20,the_geom,2,4269,MULTIPOLYGON
tiger,tract,the_geom,2,4269,MULTIPOLYGON
tiger,zcta5,the_geom,2,4269,MULTIPOLYGON
