table_schema,table_name,column_name,data_type
public,_aays_external_evidence_candidates,matched_parcel_id,integer
public,_aays_external_evidence_candidates,matched_parcel_ref,text
public,_aays_external_evidence_candidates,old_parcel_id,integer
public,buildings_facilities_features,point_geometry,USER-DEFINED
public,buildings_facilities_features,postcode,character varying
public,buildings_facilities_features,site_geometry,USER-DEFINED
public,buildings_facilities_features,uprn,character varying
public,city_growth_vectors,calculated_at,timestamp with time zone
public,city_growth_vectors,calculation_version,character varying
public,city_growth_vectors,vector_geometry,USER-DEFINED
public,contractor_exports,parcel_id,text
public,contractor_matches,parcel_id,text
public,contractor_parcel_match,parcel_id,text
public,contractor_project,tender_title,text
public,facility_resolved_features,point_geometry,USER-DEFINED
public,facility_resolved_features,postcode,character varying
public,facility_resolved_features,site_geometry,USER-DEFINED
public,facility_resolved_features,uprn,character varying
public,future_growth_features,geometry,USER-DEFINED
public,geometry_columns,f_geometry_column,name
public,listing_parcel_link,parcel_id,integer
public,listing_parcel_link,postcode_match,boolean
public,listings_government_property_finder,point_geometry,USER-DEFINED
public,listings_government_property_finder,postcode,character varying
public,listings_government_property_finder,site_geometry,USER-DEFINED
public,listings_government_property_finder,title,text
public,listings_landhub,geometry,USER-DEFINED
public,listings_landhub,parcel_name,text
public,listings_landhub,postcode,character varying
public,listings_market_adapter,parcel_name,text
public,listings_market_adapter,point_geometry,USER-DEFINED
public,listings_market_adapter,postcode,character varying
public,listings_market_adapter,site_geometry,USER-DEFINED
public,listings_market_adapter,title,text
public,managed_land_listings,centroid_lat,double precision
public,managed_land_listings,centroid_lon,double precision
public,managed_land_listings,listing_title,text
public,managed_land_listings,parcel_name,text
public,managed_land_listings,parcel_ref,character varying
public,manual_match_overrides,parcel_id,integer
public,parcel_context_metric_details,parcel_id,integer
public,parcel_context_metric_details,parcel_ref,character varying
public,parcel_context_metric_details,touches_parcel,boolean
public,parcel_context_summary,parcel_id,integer
public,parcel_context_summary,parcel_ref,character varying
public,parcel_cost_estimates,calculated_at,timestamp with time zone
public,parcel_cost_estimates,inflation_multiplier,double precision
public,parcel_cost_estimates,location_multiplier,double precision
public,parcel_cost_estimates,parcel_id,integer
public,parcel_external_market_evidence_summary,parcel_id,integer
public,parcel_external_market_evidence_summary_backup_aays11_20260501_,parcel_id,integer
public,parcel_future_growth_evidence,evidence_title,text
public,parcel_future_growth_evidence,parcel_id,integer
public,parcel_future_growth_evidence,relation_type,character varying
public,parcel_future_growth_evidence,source_title,character varying
public,parcel_future_growth_scores,calculated_at,timestamp with time zone
public,parcel_future_growth_scores,calculation_version,character varying
public,parcel_future_growth_scores,parcel_id,integer
public,parcel_planned_asset_matches,parcel_id,integer
public,parcel_sales_history,matched_parcel_ref,text
public,parcel_sales_history,parcel_id,integer
public,parcel_sales_history,postcode,text
public,parcel_sales_history_backup_aays35_20260501_033723,parcel_id,integer
public,parcel_sales_history_backup_aays35_20260501_033723,parcel_ref,text
public,parcel_sales_history_backup_aays35_20260501_033723,postcode,text
public,parcel_sales_history_candidate_quality_preview,canonical_parcel_id,integer
